keyword,valence_value
流泪,0.7999999999999997
星星,0.5333333333333333
好报,0.5
备胎,0.5166471975426501
十年,0.5829188527789728
什么,0.5262849574652333
作品,0.7320441988950276
守护,0.9333333333333333
好人,0.9000000000000001
百听不厌,0.613610169931967
结婚,0.6071428571428569
关心,0.8181818181818182
五年,0.5900421551201858
再也,0.41094619666048215
功德圆满,0.9651090741236559
方力申,0.6774463789532842
无姓,0.5
日後難,0.8182002146791252
该操,0.6666666666666666
听歌,0.7751188339061319
阿申,0.6999999999999997
我兢兢业,0.5
落力,0.5
細佬,0.5
那不关,0.17491638378734797
没念记,0.548950570578344
虐心,0.5
不火,0.2181847147857181
唱过,0.8571428571428571
膠套,0.6274949104362365
可保,0.5308641975308641
忧桑,0.8120489511380032
两年,0.4745456271836268
哭醒,0.5
唱的歌,0.9350724437308127
为什么,0.5262849574652333
亏欠,0.2818341757584806
越做越,0.8286903492118178
缺德,0.2844240119647118
回不去,0.23413003945665833
病痛,0.6432082980680366
举个,0.18181818181818177
情歌,0.5
耿耿于怀,0.19999999999999996
鬼脸,0.4911813503788086
念念不忘,0.9883179611821402
友情,0.9230769230769229
相亲,0.8571428571428571
三部曲,0.901173902812115
最远,0.5312156532718961
新郎,0.6666666666666666
煎熬,0.6666666666666666
不须,0.5
惋惜,0.9285714285714286
只是,0.4525029562475362
无名,0.49999999999999956
好心,0.4285714285714284
好听,0.33333333333333337
怀念,0.7222222222222219
女神,0.7499999999999999
相识,0.5999999999999999
可笑,0.21311475409836034
分手,0.7142857142857141
恋爱,0.8666666666666666
三千,0.9090909090909091
说来,0.8571428571428571
还好,0.698853772053367
所有人,0.5710777232013867
老实,0.33333333333333337
伤心,0.5733333333333331
大街,0.3124999999999998
大笑,0.6774193548387093
何必,0.4166666666666664
认可,0.7555555555555554
分开,0.3157894736842102
夜里,0.24999999999999978
幸福,0.9162790697674418
全世界,0.5789473684210525
可惜,0.5798611111111108
好好,0.5683760683760681
没有,0.5262849574652333
始终,0.611650485436893
故事,0.7370317002881841
走向,0.9487179487179486
不得不,0.5348837209302322
不想,0.38720148860795456
要是,0.5262849574652333
进来,0.34285714285714275
真是,0.5262849574652333
总是,0.5262849574652333
不得,0.5262849574652333
听说,0.5778894472361804
别人,0.5336538461538459
以为,0.5262849574652333
加上,0.5714285714285712
离开,0.46698113207547187
终于,0.5870307167235493
一年,0.548455804046858
告诉,0.4504504504504503
一起,0.5262849574652333
觉得,0.5262849574652333
过去,0.5262849574652333
那个,0.5262849574652333
那么,0.5262849574652333
一样,0.5262849574652333
不会,0.3950806272686248
时候,0.5262849574652333
还是,0.5262849574652333
知道,0.5262849574652333
现在,0.5262849574652333
不是,0.3689479060265576
这个,0.5262849574652333
自己,0.5262849574652333
