keyword,valence_value
大哭,0.7099148741313376
陈柏宇,0.9438387470245044
away,0.5262849574652333
网易,0.5
walk,0.5
听歌,0.7751188339061319
run,0.5
再红,0.4425322358203283
baby,0.5
day,0.24999999999999978
oh,0.5262849574652333
小错,0.56453836525546
憨笑,0.5
裁剪,0.24999999999999978
大三,0.4439284230206094
想不通,0.4433098895745545
铃声,0.8333333333333333
歌词,0.875
静静,0.7755102040816326
初中,0.5084745762711864
连个,0.13953488372093004
一点点,0.5735294117647055
明明,0.2124999999999997
英文,0.38547486033519507
难过,0.7499999999999999
靠近,0.4873949579831932
当初,0.6103896103896105
音乐,0.6621621621621622
主动,0.6394230769230766
经常,0.5262849574652333
却是,0.575896262395118
听到,0.4220779220779223
喜欢,0.6980431848852898
然而,0.5262849574652333
以前,0.5262849574652333
希望,0.562893081761006
最后,0.5262849574652333
部分,0.5262849574652333
只是,0.4525029562475362
需要,0.5262849574652333
继续,0.5262849574652333
但是,0.5262849574652333
因为,0.5262849574652333
知道,0.5262849574652333
现在,0.5262849574652333
不是,0.3689479060265576
没有,0.5262849574652333
