keyword,valence_value
男歌手,0.7758519539891637
歌手,0.7499999999999999
心淡,0.6616182123193005
乐基儿,0.7075210219707786
颁奖礼,0.46497541515662033
陈奕迅,0.6756797829368849
古鉅基,0.24326600867956927
auntie,0.5
狂串,0.22188953864670258
白痴,0.5667774114342351
这首,0.6271186440677964
天才,0.49999999999999956
拿到,0.5262849574652333
李克勤,0.39133380464239464
许志安,0.6321357821684747
很小,0.6740645805105998
赢过,0.5
新人奖,0.5094648687737849
超赞,0.9292862922615608
小學,0.5
時候,0.11111111111111116
然後以,0.5262849574652333
点赞,0.8861224359148606
記住,0.4976902921496964
粤知,0.7878190819578701
串唱,0.7026280710149441
快破,0.5
TVB,0.5
sir,0.5
书恒,0.5
幼兒園,0.4737150425347657
唯一,0.5217391304347825
角色扮演,0.9529467220627567
憨笑,0.5
终于,0.5870307167235493
四台,0.5
混成,0.30149296315206053
哈哈笑,0.695945945945946
前三位,0.511564681751635
祝愿,0.7142857142857141
最后,0.5262849574652333
第四位,0.4045548836008297
咕咕,0.018038262569756602
奖项,0.5
好听,0.33333333333333337
受欢迎,0.6143790849673197
诡异,0.5833333333333331
一二,0.7499999999999999
星星,0.5333333333333333
唱歌,0.5833333333333331
开心,0.7428571428571427
天王,0.5
知道,0.5262849574652333
一首,0.6271186440677964
不是,0.3689479060265576
节目,0.36842105263157865
从小,0.5284720432878122
付出,0.8387096774193546
各大,0.5322997416020671
眼里,0.8499999999999999
清晰,0.8011695906432746
爱情,0.8782608695652171
评论,0.39130434782608714
合适,0.7688888888888886
四大,0.5814494034362471
结婚,0.6071428571428569
内地,0.7999999999999997
一段,0.699140401146132
将来,0.8048780487804876
证明,0.46913580246913544
第一个,0.5510522213561962
是因为,0.5262849574652333
香港,0.8090614886731389
听到,0.4220779220779223
喜欢,0.6980431848852898
真是,0.5262849574652333
感觉,0.5485500878734622
一个,0.5051738410596026
真的,0.5272206303724926
非常,0.5262849574652333
大家,0.5262849574652333
看到,0.5262849574652333
所有,0.5262849574652333
特别,0.6067518248175182
历史,0.8469601677148845
一直,0.5262849574652333
之后,0.5262849574652333
需要,0.5262849574652333
因为,0.5262849574652333
什么,0.5262849574652333
