keyword,valence_value
胡杏儿,0.12875249369104036
新郎,0.6666666666666666
结婚,0.6071428571428569
杏儿,0.5
黄宗泽,0.3680585039398401
分手,0.7142857142857141
首歌,0.8014637224121713
不是,0.3689479060265576
时候,0.5262849574652333
一对,0.5262849574652333
bo,0.5
难顶,0.4956540915234007
黄宗泽在,0.3680585039398401
讽刺,0.8095238095238093
温柔,0.8399999999999999
健忘,0.6872390939780315
纪念日,0.24999999999999978
一起,0.5262849574652333
合唱,0.7499999999999999
成熟,0.8703703703703705
前任,0.5
流泪,0.7999999999999997
恋爱,0.8666666666666666
缺点,0.5337423312883436
小孩,0.5185185185185182
觉得,0.5262849574652333
顶下去,0.5686274509803922
可惜,0.5798611111111108
不会,0.3950806272686248
欧阳震华,0.9656203166230687
抓住,0.5199999999999996
花语,0.5
吴启华,0.8559230325123205
女主播,0.33333333333333337
不胜唏嘘,0.6774463789532842
但是,0.5262849574652333
唐宁,0.5
古天乐,0.7230164570824972
遇到,0.5262849574652333
不胜酒力,0.7006247428296564
甜腻,0.5
如人饮水,0.23976135362280127
好合衬,0.8186594771524476
宣萱,0.5
翻会,0.5
Philip,0.5
湖南台,0.5319583232928835
不记,0.4157362434072789
他教,0.49999999999999956
郭羡妮,0.7122555624023038
理过去,0.24203821656050928
关咏荷,0.8980878109880158
CP,0.5
这群,0.5151515151515148
魏俊杰,0.8901219862379954
Bosco,0.5
手太痛,0.5777134382728388
佘诗曼,0.729754119801203
十梦九有,0.5350259721007826
TVB,0.5
使人,0.7158628905745092
滕丽名,0.40663806581025064
吴卓羲,0.8559230325123205
蔡少芬,0.4737150425347657
郑嘉颖,0.9152638291415658
了泽杏,0.8901219862379954
便放,0.49530008282865134
翻哩,0.4379084967320259
视后,0.58148612239139
郭晋安,0.7122555624023038
黄宗泽说,0.2510099622533478
冷暖自知,0.4030148285650307
很棒,0.8648648648648649
牙疼,0.48589207540315926
喜糖,0.5159544530126391
爱玩,0.8451320876821923
女人,0.5810810810810807
唱的歌,0.9350724437308127
宜家,0.11111111111111116
花花公子,0.9642899730917526
放荡不羁,0.7499999999999999
可以,0.5262849574652333
歌儿,0.5
交集,0.4873389350427155
