keyword,vector
好开心,[0.36577076]
sammi,[0.2132256]
专辑,[0.35511565]
梦醒,[-0.10387478]
不甘,[-0.3756224]
岳母,[0.00035228]
可以,[0.13616306]
思念,[-0.08724378]
岳父,[-0.21022733]
妹妹,[-0.3196305]
李宗盛,[-0.3932765]
评论,[-0.3384161]
符合规律,[-0.30175844]
思忆,[-0.3742454]
iPhone,[0.06768354]
IPhone,[-0.21105951]
电音,[0.20629087]
宗盛叔,[-0.28771293]
国祭,[-0.3532985]
粤语版,[-0.1127581]
FM,[-0.06434072]
妙词,[0.00048847]
云是,[0.31136423]
我超,[0.39232466]
老妹,[0.31965768]
我来,[0.38541067]
潘伟源,[0.0778148]
美的,[-0.22043726]
第条,[-0.31511456]
卫兰,[-0.11269722]
历尽沧桑,[0.48411933]
装起,[-0.48626557]
喜欢,[0.33282974]
名曲,[0.38605398]
南京大屠杀,[-0.4285619]
传颂,[0.28372493]
作词,[0.20219523]
哥们,[-0.49987477]
终于,[0.05685854]
首歌,[-0.28429493]
狗屎,[0.1910485]
演唱会,[-0.23068655]
年月日,[-0.11218622]
铭记,[-0.06467404]
片段,[0.26202986]
怀旧,[-0.02273801]
第一张,[-0.23423377]
心有,[-0.00085649]
展望未来,[0.03718218]
多些,[0.20845978]
抖抖,[-0.15352604]
翻翻,[0.14620952]
录下,[-0.15483677]
度日,[-0.00609811]
有空,[-0.3161512]
只能靠,[-0.27983516]
老哥,[0.27021864]
年岁,[-0.25263473]
买不起,[0.35790402]
女朋友,[-0.04864427]
收录,[0.40621138]
作曲,[-0.4155602]
好听,[-0.07318959]
门票,[0.27831924]
网易,[0.09531137]
这辈子,[0.26202425]
大哭,[-0.09195191]
楼下,[0.09410714]
哈哈,[-0.4809078]
面貌,[0.3337479]
周年,[0.2179843]
个个,[0.42656198]
亮点,[-0.16244537]
气息,[-0.04597733]
可爱,[-0.15831621]
听听,[0.09080219]
不好意思,[0.06821482]
可能,[0.23843406]
时分,[0.3689759]
经典,[-0.49812412]
就让,[-0.47632042]
私人,[0.3824498]
老婆,[-0.14789583]
床上,[-0.12005063]
随时,[-0.4230013]
人才,[-0.17614418]
故事,[0.17524]
作品,[-0.2693718]
样子,[0.42755765]
里面,[-0.40202585]
总是,[-0.38138658]
感觉,[0.2100912]
一个,[0.06827597]
说话,[0.11020739]
自然,[-0.12145262]
年代,[0.08152533]
非常,[-0.16628231]
的话,[0.02659215]
世纪,[0.06858309]
历史,[-0.46147618]
这里,[-0.09948453]
许多,[0.05148954]
时候,[-0.33324665]
一种,[-0.35181853]
还是,[-0.02927386]
这些,[-0.06899477]
