keyword,vector
电话录音,[-0.14567497]
点解,[-0.4690017]
永远,[-0.06831481]
eo,[0.15327258]
我话,[0.14643992]
乜野系,[-0.15553379]
boys,[-0.20711243]
shine,[0.13387293]
kids,[0.27937153]
沙哥,[0.3902666]
请留,[0.38564748]
粤语,[-0.41429207]
任何借口,[-0.47373804]
不再,[-0.46135572]
离开,[0.01242116]
口信,[0.0518565]
内疚,[-0.3470636]
留住,[0.05678144]
珍惜,[-0.23499724]
童年,[-0.33950874]
大哭,[-0.09067199]
分手,[0.31510684]
羡慕,[-0.37358904]
哈哈,[-0.4759539]
耐心,[0.04095617]
一堆,[0.05617078]
辛苦,[0.46962517]
暴露,[-0.10334692]
懂得,[0.013709]
已经,[-0.29463163]
等到,[0.13630287]
组合,[-0.12999763]
年龄,[0.2376603]
失去,[0.0667791]
当年,[0.4406493]
进来,[0.11065845]
多年,[-0.06734314]
明白,[-0.2431784]
那些,[0.20765339]
知道,[0.29696095]
自己,[0.45889625]
我们,[-0.30666208]
