keyword,vector
约定,[-0.19895919]
eason,[0.32708386]
首歌,[-0.2813554]
王菲,[0.3572454]
一首歌,[0.02554508]
街边,[0.35129613]
好久,[0.02396888]
爱人,[0.08700174]
五年,[0.48259655]
抗洪救灾,[0.22497514]
瞎逛,[-0.22507626]
收发室,[-0.17768987]
没有,[0.45963722]
地铁口,[0.362415]
想起,[0.31867403]
可真快,[-0.45509362]
陈生,[-0.32603142]
爱是,[0.3978008]
offer,[0.28462836]
人能,[0.15176687]
国语版,[-0.09608387]
高嘉琦,[0.09243473]
有个,[0.48385936]
想触,[-0.36704186]
怜悯之心,[0.12487632]
再不来,[0.4672886]
心跳声,[0.18208207]
也许,[-0.48353207]
唱的歌,[-0.11882921]
自己,[0.46485415]
那台,[-0.24299815]
今年夏天,[-0.3329467]
入耳,[0.05028828]
番话,[-0.07139084]
斑白,[-0.3547541]
弹唱,[0.10927331]
砰砰,[0.07718867]
两鬓,[0.08165788]
婷婷,[0.44548327]
快递,[-0.4326987]
六点,[0.09607525]
熬夜,[-0.01511157]
半分,[0.48570764]
车牌,[0.40577814]
我爱你,[0.41857713]
除夕,[-0.08234181]
觉得,[0.2391168]
沙哑,[-0.40159658]
柔情,[0.00644849]
记不清,[0.15823995]
感人,[-0.022247]
歌手,[0.22103794]
男生,[-0.37787196]
独一无二,[-0.345991]
殿堂,[-0.11930854]
片面,[0.13734733]
怎么,[-0.34527764]
乞丐,[-0.2768562]
舍得,[0.21008001]
以后,[-0.28345186]
牵着,[-0.22023259]
发誓,[-0.05513242]
诉说,[-0.2629381]
深情,[0.16548946]
留着,[0.3009853]
一个,[0.06967924]
之日,[0.06400588]
失眠,[-0.12214503]
再见,[0.21705522]
过得,[-0.16021603]
清晨,[-0.4316095]
角落,[-0.21631205]
骄傲,[0.12822236]
商场,[-0.28272405]
商标,[0.29435536]
分手,[0.31544483]
流泪,[0.5031338]
艺人,[-0.4543878]
还是,[-0.02257851]
知道,[0.29661417]
嗓子,[0.28651518]
说实话,[0.39940757]
婚礼,[0.22051933]
第三个,[0.1153178]
呼唤,[0.08362237]
嫁给,[0.23295619]
超市,[0.28801817]
梦想,[0.04418799]
停住,[0.33276853]
这样,[-0.15729715]
有过,[-0.35412088]
急切,[-0.08821347]
路边,[0.39765063]
一堆,[0.05632983]
版本,[-0.01759839]
车上,[-0.19395837]
某个,[-0.43955848]
技巧,[-0.45233867]
我会,[-0.25668204]
论文,[0.24268535]
认得,[0.24534427]
整整,[0.04676655]
缓缓,[0.03359661]
收回,[-0.12541579]
暗暗,[-0.24025777]
拿到,[0.21968648]
婚姻,[-0.49603593]
感动,[-0.09059037]
不来,[0.35771185]
在家,[-0.39818025]
可以,[0.14147007]
牺牲,[0.5022647]
脚步,[0.0297132]
不论,[-0.16039376]
匆匆,[-0.11711654]
这座,[-0.46609673]
千万,[-0.26716444]
男女,[-0.0987016]
见面,[-0.36603308]
哪个,[0.08543577]
依旧,[-0.4859477]
到处,[0.28183976]
承诺,[0.2593931]
到来,[-0.1451342]
明天,[-0.18520811]
记得,[0.25247616]
外面,[0.4685144]
哥哥,[-0.4699437]
医生,[0.05913854]
不行,[-0.28116855]
区别,[0.02790086]
一份,[-0.050252]
将来,[0.13543569]
那时,[0.05098663]
故事,[0.17496322]
见到,[-0.01362269]
距离,[-0.4535575]
常常,[0.34033793]
公里,[-0.08538456]
下午,[0.40652084]
男人,[-0.01303025]
日子,[-0.2510704]
实在,[-0.02689007]
在于,[0.45314848]
听到,[0.36015847]
确实,[-0.4186905]
变成,[0.0518436]
有时,[-0.07732986]
哪里,[0.03281208]
喜欢,[0.33443546]
身体,[-0.27617183]
真是,[-0.17867357]
不好,[-0.13259326]
真的,[-0.11475897]
状态,[-0.20994158]
女人,[0.01868409]
坐在,[0.42685744]
这次,[0.10249288]
离开,[0.01283654]
处理,[-0.36670563]
单位,[-0.09891391]
才能,[0.1897456]
正是,[0.44315356]
孩子,[-0.01214468]
或者,[-0.28209272]
稳定,[0.03152101]
下来,[0.39721265]
回来,[0.41407582]
