keyword,vector
小虎队,[0.20251559]
首歌,[-0.28118193]
起舞,[-0.09695116]
单身,[-0.32611087]
碟片,[0.09115982]
草蜢,[-0.06418856]
适合,[0.14293748]
失恋,[-0.2007478]
香港,[0.19816126]
成人,[0.37857947]
港片,[-0.04955403]
时候,[-0.32369888]
一下子,[0.49370956]
QAQ,[0.46987057]
VCD,[-0.26456457]
事换个,[0.4418618]
脑补,[0.17419608]
事唱,[0.28604206]
欢脱,[-0.01476886]
没找,[0.17223278]
家有仙妻,[-0.02539305]
进键,[-0.01730227]
人字拖,[0.09320103]
这歌,[0.07249706]
伤心欲绝,[0.04908545]
主题曲,[-0.420066]
吐舌,[0.50422394]
每个,[0.41455433]
粤语,[-0.40869302]
大龄,[-0.12079938]
自杀未遂,[0.3680214]
人家,[0.32718146]
冰激凌,[0.17179804]
被打乱,[-0.06719991]
聊到,[0.14833269]
流行歌曲,[0.20171247]
唱的歌,[-0.1221402]
会得,[0.02622907]
每一寸,[-0.47101554]
裤衩,[-0.04168146]
聊着,[0.3744487]
没戏,[0.21591228]
情人节,[-0.23342642]
生活节奏,[-0.2196983]
信息,[-0.44211072]
老去,[0.14472632]
恰好相反,[0.09350826]
取悦,[-0.2696159]
听不出,[0.02145398]
发条,[0.35105821]
神曲,[0.32400924]
洛桑,[-0.16161455]
孩子气,[0.09683568]
复习,[-0.25875446]
第三年,[-0.26571205]
订婚,[-0.09083303]
年代,[0.08732952]
芭蕉扇,[-0.08354758]
婚纱,[0.37399918]
今天,[0.36322162]
想当年,[0.22133897]
微积分,[0.26439655]
关机,[0.41259223]
一下,[-0.19244315]
土豪,[-0.23627676]
快进,[0.4592951]
首推,[0.08352187]
老爸,[-0.25095904]
机油,[0.22872186]
跳下去,[-0.00114868]
盗版,[0.03319267]
洒脱,[0.05341323]
这么,[-0.11935766]
楼顶,[-0.20483932]
学艺,[0.34555995]
生活,[-0.20432417]
满满,[0.28031293]
偶像,[-0.01128433]
说得好,[0.12901291]
同时代,[-0.20458774]
发来,[-0.04975434]
喜好,[0.3895772]
摇着,[0.4256803]
话音刚落,[-0.42434558]
相对而言,[0.2756416]
地区,[-0.18877386]
