keyword,vector
首歌,[-0.29172847]
一起,[-0.38504082]
安全感,[0.04286426]
我妈,[-0.10748112]
喜欢,[0.32057706]
悲哀,[-0.20841917]
女生,[0.41498184]
与否,[-0.22880715]
可爱,[-0.17608231]
觉得,[0.22077872]
一个,[0.05331662]
爱情,[0.09764013]
陪你到,[0.08740264]
因为,[0.12114035]
挽手,[0.33628735]
想起,[0.30662465]
张晓晗,[0.02989664]
do,[0.22072029]
荷问,[0.28138906]
因想,[-0.08143473]
sowhat,[0.08680575]
若笑,[0.02383092]
荷西问,[0.40720648]
微博,[0.39749718]
三叹,[-0.1895353]
Janice,[-0.07375548]
exactly,[0.46091762]
want,[-0.42548868]
三看,[-0.07115016]
卫兰,[-0.11171301]
暗恋,[-0.02848694]
女歌手,[-0.1346706]
物欲,[-0.06107094]
要是,[-0.23514119]
这样,[-0.17298204]
看不顺眼,[-0.06725984]
街灯,[-0.406665]
饿不死,[-0.22839679]
备胎,[0.44524843]
千万富翁,[-0.4673556]
多不多,[-0.1823197]
三毛,[-0.20159574]
共患难,[0.24215905]
求爱,[0.02608049]
凡夫俗子,[-0.27398255]
克服困难,[-0.04418023]
同甘共苦,[0.44625747]
不随,[-0.11816017]
机会,[-0.38545337]
说来说去,[0.30608878]
投胎,[-0.17186283]
淡薄,[0.04452618]
满心欢喜,[0.2511902]
妞儿,[0.3346886]
我爸,[0.38678798]
顺眼,[0.3558687]
跑车,[0.43270403]
一无所有,[-0.3727235]
吃苦,[-0.0962149]
彩虹,[-0.29363233]
无妨,[-0.2564895]
二十岁,[-0.03270428]
亿万富翁,[-0.3718699]
流星,[-0.42507008]
高估,[0.31976122]
那段,[0.43782344]
迷人,[0.06495821]
无聊,[0.00610172]
开着,[0.02846833]
所以,[-0.15810336]
平淡,[0.02734953]
廉价,[-0.17405371]
男孩,[-0.21410955]
骄傲,[0.12925972]
世俗,[-0.27030206]
拍拍,[-0.46440983]
苦难,[-0.35780922]
低估,[-0.31105232]
还是,[-0.02962506]
立马,[-0.42102292]
脑子里,[0.01355543]
二十,[-0.19187646]
嫁给,[0.22872174]
自信,[-0.42416894]
看不到,[0.22711228]
有钱,[-0.33732644]
长久,[-0.34293666]
委屈,[-0.04047307]
安置,[0.49225822]
分享,[0.19357707]
例外,[-0.00874653]
女孩,[-0.44321445]
无非,[0.224555]
起初,[0.04731621]
纯粹,[-0.09778513]
后悔,[-0.19047014]
肩膀,[-0.26547292]
头顶,[-0.14621584]
低头,[-0.45207626]
什么样,[0.13459732]
可以,[0.1212973]
平等,[0.13706803]
生存,[-0.3704937]
决心,[-0.1262252]
彼此,[-0.4526793]
年纪,[-0.31555665]
无数,[0.3576624]
挣扎,[-0.02819579]
我们,[-0.31999874]
评论,[-0.34324417]
那天,[-0.14721148]
追求,[-0.09274843]
不够,[0.48063657]
年龄,[0.23315747]
再也,[0.09589392]
吃饭,[-0.46140388]
害怕,[0.01318145]
口气,[0.32176232]
感情,[-0.34551245]
永远,[-0.07428868]
互相,[0.23739219]
少数,[0.31769317]
大多数,[0.07388555]
毕竟,[-0.51101327]
难道,[-0.25621578]
不肯,[0.18897445]
不用,[-0.2580523]
男人,[-0.02946605]
跟着,[-0.3048621]
所谓,[-0.05992047]
最好,[-0.13200876]
却是,[-0.05309773]
经历,[-0.10252447]
一眼,[-0.06979866]
听到,[0.3533989]
哪里,[0.03084388]
第一次,[-0.0362947]
物质,[0.10412657]
问道,[0.4976807]
感觉,[0.20910548]
越来越,[0.10923254]
真的,[-0.12975696]
简单,[-0.26162967]
想到,[0.45536268]
以为,[0.42551732]
女人,[-0.00347299]
不到,[-0.1821336]
希望,[0.30473983]
而是,[0.2700692]
只要,[-0.19995487]
不少,[0.36866716]
后来,[0.4105318]
的话,[0.02380365]
不断,[-0.30109268]
东西,[0.10023533]
特别,[-0.24485706]
