keyword,vector
宏愿,[0.07278772]
性格,[0.37330666]
任你选,[-0.22702558]
假使,[0.04255188]
周柏豪,[0.1578593]
喜欢,[0.3457573]
接吻,[0.04120995]
干嘛,[0.15077388]
宏大,[-0.04730615]
荔枝,[-0.12312316]
离开,[0.02270543]
那年,[-0.40128973]
还好,[0.01817459]
愿望,[0.45709914]
然后,[0.3504443]
好歌,[-0.21527998]
一直,[0.09275942]
幸福,[-0.33065116]
发现,[-0.3304574]
只是,[0.32779828]
初赛,[0.03160914]
继往,[0.1503143]
声线,[-0.21235351]
生日快乐,[-0.18414278]
奸笑,[-0.28691444]
糖纸,[0.32837301]
粤语歌,[0.45106378]
上好佳,[-0.02488329]
陈奕迅,[-0.15888856]
快亲,[-0.19949053]
杨千嬅,[0.24873665]
颖欣,[0.00075266]
很耐,[0.17295215]
点赞,[-0.15599746]
练歌,[0.30210486]
歌是,[-0.08534528]
早火,[-0.0617482]
词多,[-0.39843002]
gay,[-0.29746792]
Pakho,[-0.4601543]
人帅,[0.01186965]
眼酸,[0.36481047]
梁嘉欣,[-0.48953205]
第一次,[-0.03052572]
远远望,[0.07469687]
一个,[0.08530354]
一事无成,[0.02166191]
入耳,[0.05686854]
热切地,[0.21867095]
回望,[0.16565172]
高二,[0.42947814]
多首,[0.28258425]
心碎,[-0.34391695]
突然,[0.43430376]
深挖,[0.39433673]
着迷,[-0.11325047]
卑微,[-0.37352136]
一下,[-0.19870369]
我爱你,[0.41967016]
恋情,[-0.08146453]
二话不说,[-0.00134865]
钟爱,[0.4130135]
来宾,[0.07461269]
草莓,[0.17003125]
第一眼,[-0.04309122]
惦记,[-0.10284839]
兜里,[0.14645383]
过去,[0.3552408]
撕开,[-0.22393596]
女友,[-0.06670859]
我俩,[0.01070818]
多想,[-0.13773112]
歌手,[0.22133578]
显眼,[-0.00077205]
挽留,[0.12793888]
受罪,[-0.24245523]
放学,[-0.24751863]
几千,[-0.25441432]
作曲,[-0.41180968]
旁人,[0.08311797]
那颗,[-0.1375576]
爱人,[0.09271662]
梦见,[-0.18496749]
平淡,[0.04161285]
初中,[-0.03391787]
盼望,[-0.3552587]
一如,[0.09252488]
歌唱,[-0.03007719]
原地,[-0.21635066]
庆祝,[-0.35688147]
前天,[0.30656332]
开心,[0.22423759]
纳闷,[0.29592746]
生日,[0.0640259]
因为,[0.13684776]
小心翼翼,[0.18385254]
奇迹,[0.1333993]
明明,[0.17735755]
一首,[-0.29218006]
各位,[-0.08545993]
从来不,[-0.33562934]
假如,[-0.10620173]
苹果,[-0.08314702]
难过,[0.45044684]
感谢,[-0.21564785]
期望,[0.1572104]
昨晚,[-0.06415708]
深深,[0.29864776]
世上,[0.48650688]
尝试,[0.39831704]
分开,[-0.02876604]
八年,[-0.32368425]
看起来,[-0.09931105]
吃惊,[0.07676175]
罢了,[0.38777572]
脖子,[-0.18247007]
比赛,[-0.41929063]
评论,[-0.3273788]
优质,[-0.47505513]
