keyword,vector
好久不见,[-0.13115093]
喜欢,[0.36671925]
西藏,[0.3053918]
三千多,[0.46467134]
街口,[-0.28896335]
悲凉,[0.02312232]
格子,[0.32127395]
不如,[0.25606364]
小城,[0.1682567]
愿意,[-0.12830265]
再见,[0.24492472]
终究,[-0.1903261]
段时间,[0.53225315]
美好,[0.20891586]
评论,[-0.3119729]
只是,[0.3527524]
骑车去,[0.10315903]
还会,[-0.4950012]
不见,[0.40362448]
对方,[-0.10599656]
掩于,[0.06996491]
地说,[0.2652122]
已活,[0.20565008]
Lyn,[0.03010961]
玛吉,[-0.34246457]
群里,[0.27257648]
粤语版,[-0.10150041]
执念,[0.4941374]
美的,[-0.20570363]
很伤,[0.46462947]
国语版,[-0.08535036]
刚下,[0.10322507]
还是,[-0.00374985]
暗恋,[-0.02389787]
考研,[-0.31579685]
曾经,[0.42273122]
溅湿,[-0.4924522]
粤语,[-0.39535385]
第一次,[0.00256038]
一个,[0.09874766]
更胜,[-0.2333317]
阿米,[-0.3679438]
联系,[0.3419903]
参加国,[-0.28616667]
也许,[-0.4771007]
话别,[0.33379337]
顺其自然,[0.4162455]
鞋面,[-0.36070588]
入秋,[-0.23974165]
善解人意,[-0.30471283]
穿起,[0.29626057]
纳木错,[-0.33900777]
不到,[-0.15587808]
唇齿,[0.12362183]
只能,[-0.10387199]
长袖,[0.47619903]
平实,[-0.3419339]
总爱,[0.37105244]
逃不过,[-0.3503865]
其实,[0.36707926]
交集,[0.00784477]
布达拉宫,[0.21995609]
我们,[-0.27736756]
一马,[0.24380073]
殷切,[0.05195708]
谢幕,[0.22167596]
告诉,[-0.4238934]
决绝,[0.39195397]
情歌,[0.37164378]
面目全非,[0.12743084]
联系人,[0.09099372]
没有勇气,[0.12025327]
看到,[-0.05373692]
失恋,[-0.20125791]
然后,[0.3793133]
所有,[-0.4622164]
倾心,[-0.3714239]
翻来覆去,[-0.12890767]
若无其事,[0.0928877]
上场,[-0.4302638]
难熬,[-0.41663802]
最后,[-0.23870814]
那么,[-0.0752277]
衬衫,[-0.41004068]
男生,[-0.37815717]
无能为力,[0.1282303]
故作,[0.24554534]
留恋,[-0.10950934]
小雨,[-0.2704018]
一朝,[-0.13168259]
何苦,[0.30930987]
想念,[0.22293235]
自私,[0.22892314]
茶馆,[-0.33149806]
听懂,[-0.25846243]
地方,[-0.2996617]
潇洒,[-0.16491687]
惶恐,[-0.10820866]
异地,[0.02122206]
打扰,[-0.2625925]
只有,[0.5138472]
思量,[0.06163491]
拉萨,[0.10798228]
怀念,[0.20308279]
笑脸,[-0.23034745]
装作,[-0.07480238]
爱心,[-0.0428404]
好久,[0.02295734]
不过,[0.17093968]
奔波,[-0.01534035]
相待,[0.15660144]
桃花,[0.3101409]
悲伤,[0.2900125]
当兵,[0.32143945]
剧目,[0.42241022]
失利,[0.3932166]
亲爱,[0.21149129]
十里,[-0.18339017]
繁华,[-0.3347409]
变迁,[-0.08263956]
间隔,[-0.25491753]
时光,[-0.09311164]
小心翼翼,[0.19396535]
现在,[-0.32032508]
