keyword,vector
家驹,[0.3368381]
理想,[0.11912937]
再见,[0.22657488]
梦想,[0.04659013]
嘉宾,[0.05497628]
特别,[-0.23686925]
唱红,[-0.21262237]
rock,[-0.10668132]
roll,[-0.07248494]
好好学习,[-0.40264025]
演唱会,[-0.23148623]
唏嘘,[0.06512628]
带点,[-0.20249334]
高呼,[0.04582958]
努力,[-0.21425372]
感觉,[0.2270321]
乐队,[0.15769656]
开心,[0.22828424]
找个,[-0.13955055]
背着,[-0.19914855]
然后,[0.34380448]
笨鸟,[-0.4031757]
我们,[-0.29373643]
黄家驹,[0.09021692]
很酷,[-0.13315056]
只是,[0.323619]
一段时间,[0.24541709]
工作,[0.21953765]
大多,[-0.37939635]
百样,[0.2993886]
支烟,[-0.3734364]
道杯,[0.44318053]
BEYOND,[0.32236624]
训了,[-0.11791038]
喝高,[0.00865987]
红勘,[0.30912724]
坐阵,[-0.43221596]
活成,[-0.0346952]
对家驹,[-0.46127117]
曾经,[0.39618525]
下半生,[0.3613936]
坚持,[-0.12772924]
摇滚,[-0.08359326]
别人,[-0.35109028]
第二句,[-0.3992223]
首歌,[-0.2786622]
一首歌,[0.02331462]
一年,[0.23047811]
自己,[0.4593443]
吉他,[-0.03966214]
孩子,[-0.00558261]
遍体鳞伤,[-0.45611423]
今天,[0.35996002]
最想,[0.07465693]
独唱,[-0.09820565]
生个,[0.36959127]
一起,[-0.3610862]
展望未来,[0.04559594]
最亮,[-0.15429989]
觉得,[0.23952068]
蜗牛,[-0.4917131]
淡然,[0.3271437]
看家,[0.47957018]
韵味,[-0.38965538]
跌跌撞撞,[-0.21565495]
越小,[-0.04221623]
哀伤,[0.17090406]
弱小,[-0.14008003]
平庸,[-0.19018525]
激昂,[0.49705285]
粉丝,[0.26617837]
试着,[-0.45087796]
屋外,[-0.21173327]
访谈,[0.10084338]
迷恋,[0.07385568]
皱眉,[0.21332245]
闪闪发光,[-0.46765512]
体育馆,[-0.3947257]
郁闷,[-0.4401635]
天宫,[-0.25094417]
总有一天,[0.07907704]
多岁,[0.05772469]
承载,[-0.47404197]
不甘,[-0.3668775]
全场,[0.35580248]
回想,[0.0841912]
谷底,[0.48497406]
不死,[0.44228372]
女生,[0.4339196]
平淡,[0.04094251]
每隔,[-0.09411548]
沮丧,[-0.27991185]
世间,[0.13234924]
永恒,[0.03157428]
讨厌,[0.1087909]
大哭,[-0.08383888]
宝剑,[-0.49837285]
羡慕,[-0.37663496]
边上,[0.02537767]
静静地,[-0.15227258]
现在,[-0.3307359]
街头,[0.50361437]
惊慌,[0.30340543]
渴望,[0.39309117]
面子,[0.29158434]
越大,[-0.27775997]
听听,[0.09428218]
愉快,[-0.23031497]
阻碍,[-0.3935412]
度过,[-0.23664148]
绝望,[0.12198906]
上班,[0.08809996]
观众,[-0.08399004]
有时候,[0.15466306]
付出,[0.38650903]
里边,[0.4797552]
今晚,[-0.16100779]
就是,[-0.26485363]
定义,[0.29012093]
什么,[0.47778168]
长大,[0.13411056]
模样,[0.39337024]
可惜,[0.20085585]
直至,[0.01858923]
电影,[0.47388175]
依旧,[-0.48186013]
很难,[-0.28290612]
兴奋,[0.04679652]
一大,[-0.40941775]
好好,[0.09980078]
不够,[0.4813419]
年龄,[0.24455288]
奇怪,[-0.22480081]
一路,[0.08067115]
感情,[-0.33670154]
心情,[-0.00459816]
没想到,[-0.28977847]
不必,[0.27241477]
吸引,[-0.1496682]
没有,[0.45719212]
妻子,[0.26047376]
那时,[0.05385026]
乐观,[0.10815757]
常常,[0.34828058]
不了,[-0.32081547]
普通,[0.39579093]
医院,[0.07296427]
跟着,[-0.28197715]
一把,[-0.14064452]
香港,[0.18215185]
所谓,[-0.0572097]
学生,[0.2847956]
一个,[0.06992464]
时代,[0.21677223]
通常,[0.01989198]
领导,[0.2829337]
积极,[0.19379042]
不敢,[-0.09460769]
其实,[0.3271361]
来说,[0.10441786]
原来,[-0.22222002]
有人,[-0.23760831]
后来,[0.40935126]
原因,[-0.17307815]
不要,[0.04520461]
大家,[-0.46283796]
看到,[-0.07221325]
很多,[0.41905218]
完全,[-0.3298091]
这么,[-0.12312651]
为了,[0.24113834]
一直,[0.0833875]
怎么,[-0.34962994]
地方,[-0.3232074]
发现,[-0.32907012]
但是,[-0.27011722]
时间,[-0.42654213]
一些,[0.05639234]
不能,[0.08417849]
不是,[0.20212506]
