keyword,vector
彳亍,[-0.03978731]
周耀辉,[0.09565877]
ch,[0.27010876]
林夕,[-0.11904893]
耀辉,[-0.183887]
一柱,[0.04896208]
没法,[0.40734658]
吴一弦,[-0.02728972]
伤治好,[-0.07504848]
黄伟文,[-0.20288683]
一样,[-0.18426922]
人生,[0.36533532]
一个,[0.07206487]
天地间,[0.04016686]
怎样,[-0.0887877]
在外,[-0.47370076]
刀刀见血,[-0.06298187]
倚天剑,[0.0188747]
黯然销魂,[-0.16834879]
忽如,[-0.1953365]
人生路,[0.30619016]
五味杂陈,[-0.4177699]
置顶,[0.2924966]
歌会,[0.1775987]
涵意,[0.09991165]
旧疾,[0.11729187]
粤语歌,[0.4449777]
称词,[0.0342869]
字念,[0.06968012]
歪文,[-0.355755]
不火耀辉,[-0.12208842]
屠龙刀,[0.21392716]
可鉴,[-0.18080336]
张华年,[0.34453923]
juno,[-0.18475488]
可骨,[-0.33964694]
身外物,[-0.4613252]
留色,[0.18581249]
词仙,[0.21348824]
最帅,[-0.13953678]
词鬼,[-0.40570688]
一弦,[-0.28291586]
隐世,[-0.33276784]
李杜,[0.256973]
或时,[0.16142389]
雨巷,[0.33026454]
思华,[-0.29636517]
风清扬,[-0.12962885]
锦瑟,[0.43875024]
人活,[0.22631042]
中写,[-0.23713276]
应存,[-0.3642664]
知道,[0.31025785]
暗恋,[-0.01679312]
枯槁,[0.07468949]
戴望舒,[0.265767]
身边,[0.21577784]
赤子之心,[-0.01031952]
喜欢,[0.33685523]
真是,[-0.1810472]
憨笑,[0.06626548]
李贺,[0.26227787]
父亲,[0.48009554]
慢走,[-0.3671538]
首歌,[-0.2841457]
为什么,[0.11278825]
献殷勤,[-0.08075718]
归心,[-0.28888917]
拼音,[0.14358835]
抒写,[0.25689757]
美名,[-0.14704631]
双胞胎,[0.42324263]
哈哈哈,[0.20143521]
博大,[0.26773068]
过手,[-0.04825961]
取名为,[0.29063898]
小步,[0.40933755]
伤及,[-0.40411022]
隔阂,[-0.2687516]
别哭,[-0.48343438]
比作,[-0.3113139]
极致,[0.49749604]
善恶,[-0.40056416]
远行,[-0.07661553]
天光,[-0.10522721]
无端,[-0.47273225]
最美,[0.2952185]
梦里,[0.06531134]
嘈杂,[0.48775136]
有朝一日,[-0.0417928]
走时,[0.4941541]
游历,[0.31495374]
生下,[-0.29129842]
时候,[-0.3178053]
出头,[0.38468727]
只想,[0.48419747]
梦见,[-0.19007595]
冲破,[0.41395083]
沮丧,[-0.28195775]
热爱,[0.2499535]
本性,[-0.43120715]
世间,[0.12371284]
五十,[0.05934511]
精通,[-0.08723471]
流血,[0.12935859]
华丽,[-0.07705832]
人影,[0.41281566]
往常,[-0.12305405]
默默,[-0.35635695]
汉语,[-0.04161717]
好奇,[-0.06282067]
万物,[0.0709746]
形容,[-0.40459362]
好汉,[0.37647784]
美好,[0.1923514]
徘徊,[-0.2857617]
委屈,[-0.02261452]
唐朝,[0.39089602]
分享,[0.20060195]
难过,[0.4450876]
感激,[-0.3162427]
