keyword,vector
黎明,[-0.45795187]
金曲,[-0.3280889]
劲歌,[-0.43075392]
张学友,[-0.02831036]
唱歌,[0.2526287]
第届,[-0.45111695]
雪柜,[0.43049538]
影帝,[-0.03501718]
郭富城,[0.35312918]
金奖,[0.28276354]
不如,[0.25296643]
何方,[0.347148]
香港,[0.1912157]
但是,[-0.26983884]
天王,[0.13304715]
模仿,[-0.14557984]
未曾,[-0.21696973]
版本,[-0.00900149]
全是,[0.505084]
翻唱,[0.11796037]
十大,[-0.27582923]
歌单,[-0.41812432]
奸笑,[-0.283318]
学友,[0.1953717]
条肠,[-0.3683178]
我能,[0.321086]
明哥,[0.37437448]
郭刘能,[-0.18104929]
III,[-0.32819036]
输再,[0.46359318]
喝会,[0.3133163]
see,[0.32569695]
致遙遠,[-0.34546095]
点赞,[-0.14872468]
转极,[-0.00866622]
我个,[-0.30775392]
个脑,[-0.12157798]
MV,[-0.4742979]
leon,[0.19510572]
保连奴,[0.43406916]
说卫兰版,[0.48390037]
四首歌,[0.02834188]
KTV,[0.02309537]
四首,[0.4456914]
小伙伴,[0.11269066]
没当,[0.40778825]
刘江,[0.39676863]
情深,[-0.3228763]
刘德华,[0.1267616]
尼奥,[0.46024278]
首歌,[-0.2779112]
一切顺利,[-0.20603785]
巴萨,[0.16055842]
他们,[-0.27839258]
大合唱,[-0.38435796]
哪一位,[-0.3793246]
真得,[0.27842528]
刹那,[-0.39817378]
备注,[-0.08368544]
颁奖,[-0.4483706]
总说,[-0.13903718]
获得,[0.06663217]
晨光,[0.15184171]
灰暗,[-0.02804149]
你们,[0.22404079]
星辰,[-0.27261353]
捣乱,[-0.02624351]
润滑,[0.49753228]
偶像,[-0.01544669]
离谱,[0.4441554]
拿过,[0.31860057]
哪家,[0.20190643]
歌词,[-0.33397606]
球迷,[-0.07587067]
误导,[0.3621869]
连成,[-0.13713682]
相伴,[-0.13509363]
收录,[0.41690618]
全场,[0.35162795]
才华,[0.48999143]
呵呵,[-0.4467927]
我心,[-0.3044735]
只有,[0.49758053]
祝福,[-0.16851361]
四次,[0.00450396]
跳舞,[-0.15086484]
更能,[-0.19763066]
深情,[0.16556214]
不过,[0.16622116]
大奖,[-0.32078215]
想过,[-0.05148133]
再见,[0.22126397]
慈善,[0.42177263]
保利,[0.22791557]
大哭,[-0.08602078]
并列,[0.16583112]
暴力,[-0.25046197]
同事,[0.01636035]
咖啡,[-0.34251833]
一首,[-0.30241042]
开始,[-0.05528275]
厨房,[0.04245717]
完美,[-0.24449691]
说不出,[0.32387838]
记忆,[-0.38565165]
人气,[-0.04652593]
味道,[-0.1926329]
导演,[-0.25149038]
就是,[-0.26481283]
经典,[-0.4879268]
