keyword,vector
富士山,[0.21964402]
神曲,[0.33216083]
喜欢,[0.344143]
爱情,[0.11223279]
不能,[0.09004657]
逛过,[-0.3491673]
爱意,[0.27695724]
备胎,[0.46040335]
试管,[-0.40175593]
看到,[-0.07348046]
搬走,[0.00029208]
一座,[-0.31799954]
句子,[-0.21803145]
可以,[0.14578919]
拥有,[-0.07249141]
偷偷,[-0.14387526]
分开,[-0.02930907]
什么,[0.4809249]
足够,[-0.24135451]
移动,[-0.16840032]
故事,[0.1692313]
失去,[0.06779397]
葳蕤,[0.4526405]
林夕,[-0.11247376]
identify,[0.1946793]
陈奕迅,[-0.15762782]
你求,[0.4909299]
泽日生,[-0.43935326]
跳海,[-0.10694091]
装逼,[-0.3185297]
tube,[-0.22704299]
染污,[-0.18790486]
爱海,[0.34086564]
前桌,[0.29913405]
through,[-0.1479968]
情伤,[0.41136175]
三角恋,[-0.38902757]
钟无艳,[-0.0526503]
恒古,[-0.21350396]
sadness,[0.01761491]
日错,[-0.37458384]
七友,[0.23440605]
药别,[-0.482998]
test,[0.01296503]
伤逝,[0.34766367]
眼眸,[-0.47545573]
学理,[0.25082093]
流浪记,[-0.12494314]
妄自,[-0.02904475]
倾城,[-0.17678562]
浮夸,[-0.23911192]
平淡无奇,[-0.254288]
远点,[-0.22885182]
回答,[0.2335684]
遗恨,[-0.37745732]
学文,[-0.44040602]
首歌,[-0.2863312]
长青,[0.11571372]
一首歌,[0.02698053]
矫情,[0.281974]
终成,[0.0989645]
荷尔蒙,[-0.09666518]
空港,[0.47945133]
放生,[0.33852378]
惊艳,[-0.1243858]
风姿,[-0.02946436]
其实,[0.33981803]
明年,[-0.2739124]
人前,[0.11923634]
芳草,[0.0385919]
想通,[0.20885895]
规劝,[-0.02972802]
初见,[0.21848072]
今日,[-0.02152167]
指尖,[0.29868618]
烂泥,[0.2929314]
欠债,[0.05247359]
方法,[0.40293086]
归家,[-0.11300222]
如此,[0.14246175]
事情,[0.334818]
我爱你,[0.43041053]
必先,[0.18716691]
几里,[0.28193372]
觉得,[0.24387114]
所有,[-0.47225168]
相约,[0.0694271]
黑发,[0.38232723]
述说,[0.12023095]
东西,[0.10313728]
过去,[0.3755635]
还清,[-0.28799346]
那个,[-0.5049358]
满腔,[-0.4185985]
飞去,[0.4091489]
取自,[-0.10807592]
那么,[-0.07037835]
机票,[-0.05705597]
私有,[0.20556335]
脱掉,[-0.31671292]
女方,[-0.17046228]
虚构,[-0.35724574]
错觉,[-0.08690873]
滑落,[0.12978007]
听懂,[-0.26591623]
偏爱,[0.2912955]
那一刻,[-0.43573594]
这首,[-0.39331985]
祝福,[-0.17163172]
提炼,[0.03968083]
以后,[-0.2817723]
气力,[-0.387958]
既然如此,[0.1850442]
食堂,[0.310068]
坏人,[-0.0963855]
一个,[0.07348404]
比喻,[0.3620261]
悲伤,[0.27609402]
好坏,[0.35830876]
永不,[-0.298674]
但是,[-0.26720154]
这辈子,[0.26578125]
真心,[0.00182996]
世间,[0.12977563]
一种,[-0.3436381]
山川,[-0.15672582]
相遇,[0.38009417]
火烧,[-0.23262712]
看似,[0.3308636]
