keyword,vector
杨千嬅,[0.2330908]
黎耀辉,[-0.3853283]
何宝荣,[0.40283453]
一起,[-0.3791754]
不想,[0.321009]
感觉,[0.20747551]
开心,[0.22577876]
希望,[0.30745265]
可爱,[-0.1630963]
学懂,[0.07437288]
一辈子,[0.01415252]
幸福,[-0.34683764]
用尽心机,[-0.36272508]
祝你们,[0.04481373]
单曲,[-0.23049793]
归人,[-0.34803537]
一百几十,[0.31581977]
旁白,[0.47612768]
主都,[-0.46508318]
怎会煲,[0.08715642]
手残,[-0.3737551]
点赞,[-0.1672174]
同病,[0.32103008]
医伤,[0.4820578]
你备,[0.05262377]
歌里,[-0.3345981]
男主先,[-0.19538091]
杨千桦,[-0.01187965]
好合,[-0.441558]
春光乍泄,[0.46683466]
上放,[-0.3809775]
一场,[-0.3067195]
最好,[-0.11917999]
医好,[-0.10093465]
王菲,[0.34235165]
香醇,[-0.42110842]
憨笑,[0.05012012]
饱饱,[-0.12552185]
过客,[0.35751256]
无法,[-0.37253386]
首歌,[-0.28920317]
一年,[0.21219589]
别离,[-0.49821836]
受伤害,[-0.16127527]
墓志铭,[0.37831515]
选择,[0.12307516]
期间,[0.395197]
高二,[0.41056234]
病好,[0.44778225]
喝汤,[-0.42996913]
借宿,[-0.17947888]
后半生,[0.28274935]
一尘不染,[-0.32374063]
心碎,[-0.36140868]
今天,[0.3442112]
不要,[0.03463345]
美酒,[0.43964872]
嬉戏,[0.35008314]
可是,[0.12871896]
小花,[0.3368394]
开导,[-0.05547564]
那个,[-0.5138296]
前奏,[-0.38646466]
嫌弃,[0.40246585]
很多年,[0.22487602]
试着,[-0.45287764]
阳台,[-0.4245578]
之间,[0.40390104]
相爱,[0.42797473]
一样,[-0.19789144]
女朋友,[-0.05702615]
不会,[-0.13815306]
连累,[-0.47560048]
甜蜜,[0.12562853]
美妙,[0.03128568]
没关系,[0.43270597]
癌症,[-0.4981033]
打扫,[0.17549628]
饭菜,[-0.33145452]
网易,[0.08948361]
口味,[-0.36530232]
浪漫,[-0.40293834]
但是,[-0.28124043]
错过,[-0.13846798]
再见,[0.20213303]
一朵,[0.3867285]
要死,[0.47192627]
分手,[0.31348917]
注定,[0.19350575]
到时候,[0.19110276]
现在,[-0.36063167]
恋爱,[0.03539655]
女孩子,[-0.21468289]
挥手,[-0.4745682]
成为,[0.4169734]
一本,[-0.47534138]
一脸,[-0.45563307]
无比,[-0.04840623]
没法,[0.3966964]
我会,[-0.2661061]
尝试,[0.38974047]
分开,[-0.03748064]
会上,[0.28538072]
内心,[-0.3104653]
照顾,[0.03354359]
特有,[-0.03111478]
伤害,[0.01698235]
他们,[-0.30478916]
可以,[0.1354308]
男女,[-0.1086226]
房间,[-0.19607003]
评论,[-0.34277615]
合适,[-0.4073357]
床上,[-0.11983546]
循环,[0.0293011]
电影,[0.48282453]
之内,[-0.15236144]
放下,[-0.04796186]
却说,[0.04353512]
痛苦,[-0.34484544]
患者,[-0.29142314]
答应,[-0.27006218]
小说,[0.3555309]
不错,[0.26491508]
遇到,[0.414612]
成熟,[0.2759474]
对方,[-0.14068145]
日子,[-0.24771434]
至少,[-0.26327565]
刚刚,[0.04807356]
变得,[0.02097533]
确实,[-0.4148855]
变成,[0.0355637]
喜欢,[0.3318958]
认识,[-0.46330482]
联系,[0.31192824]
想到,[0.44732252]
也许,[-0.48989007]
推荐,[-0.48423183]
依然,[0.03880672]
离开,[0.00485601]
