keyword,vector
喜欢,[0.35155854]
一个,[0.08277373]
后来,[0.42481962]
我来,[0.4023621]
弃权,[0.15409422]
首歌,[-0.27061215]
我们,[-0.29481652]
结婚,[-0.42137438]
痛苦,[-0.32393706]
害怕,[0.02692022]
失恋,[-0.20753412]
主动,[-0.05402384]
天涯,[-0.17534025]
开学,[0.31380042]
敷衍,[-0.07580821]
开心,[0.22930585]
分手,[0.3327654]
不能,[0.08277871]
知道,[0.303971]
如果,[0.3595061]
分开,[-0.03118334]
最后,[-0.24571379]
想要,[0.23610225]
那么,[-0.06784231]
感受,[-0.10193732]
一千多遍,[-0.10543161]
出来,[0.381827]
时候,[-0.31279495]
一根,[0.3412165]
听的歌,[-0.22506967]
气场,[0.08265206]
伴郎,[0.03861143]
贫困潦倒,[-0.21097218]
勇闯,[0.42551956]
祝你幸福,[-0.067817]
难道,[-0.23553067]
我能,[0.3232927]
逃课,[-0.48940983]
知系,[-0.3672629]
过有,[0.03544861]
我要,[0.4161181]
但系,[-0.14724022]
人会,[0.5038103]
不祝,[-0.0930718]
杨佩仪,[0.0868463]
钟意,[0.25204057]
牵一,[0.2905357]
走心,[-0.18736592]
发梦,[-0.0509632]
茶饭不思,[0.45051152]
是因为,[0.10865195]
身边,[0.22606075]
同走,[-0.2604881]
停不下来,[0.29766652]
真的,[-0.10438573]
追回来,[0.01385752]
别去了,[0.02030462]
犯错,[-0.42262053]
三四点,[-0.32778436]
骂名,[-0.02366782]
大二,[-0.44938767]
找对象,[-0.34810367]
一首歌,[0.02825155]
红地毯,[-0.02453537]
阴差阳错,[0.19073185]
喝到,[0.20837873]
希望,[0.31938872]
偏执,[0.1447831]
勾搭,[0.20194137]
晚点,[-0.49311358]
辗转反侧,[0.48339316]
同桌,[0.17100531]
师妹,[-0.3044439]
私奔,[0.29959232]
爱着,[-0.10044686]
看穿,[-0.12510195]
快餐,[0.1075203]
高跟鞋,[0.32099107]
坐火车,[0.12490065]
夜深人静,[0.40189028]
自卑,[0.42101026]
五点,[0.15400192]
几个,[0.186153]
家境,[-0.2214686]
照常,[0.04140536]
举杯,[0.1911711]
哀伤,[0.18948591]
很差,[0.20957911]
背负,[0.42572397]
酒吧,[0.46999642]
兼职,[-0.2704711]
六百,[-0.28272396]
忘不了,[0.3591716]
歌手,[0.22471708]
嚷嚷,[0.00673988]
男朋友,[0.31357852]
