keyword,vector
许美静,[0.42706412]
流泪,[0.5220922]
首歌,[-0.26023299]
三级片,[0.11806928]
好听,[-0.05496125]
Frankie,[-0.4157058]
小思,[0.42996866]
陈佳明,[0.26236498]
版本,[0.00067256]
离婚,[-0.33125266]
唯美,[0.20031603]
一千个,[-0.12615894]
每个,[0.42710605]
困惑,[-0.33726096]
再见,[0.2154204]
向西,[-0.21397918]
看过,[0.4757456]
然后,[0.3721544]
漱口杯,[-0.17673619]
无一不知,[-0.2176366]
幸福,[-0.33082187]
专情,[0.07439975]
一路,[0.1018957]
粉底液,[-0.18970032]
同一首歌,[0.28823757]
一段,[-0.45469204]
作曲者,[-0.3454493]
一百种,[0.17334296]
更衣室,[-0.32612157]
前面,[-0.47340262]
重温旧梦,[0.10168013]
私密性,[0.25384104]
白裙,[-0.4934307]
于性,[0.08705554]
多棒,[0.41161013]
陈奕迅,[-0.1372361]
迅版,[-0.4482773]
跟许,[0.4012033]
车副座,[-0.05511088]
听歌,[0.16727653]
长情,[0.50016]
爱成,[-0.1274107]
袁耀发,[0.17503211]
撕来撕去,[0.3914441]
Zeta,[-0.24622314]
D版,[-0.26368558]
陈奕,[0.1847799]
片尾,[0.13792723]
许美,[0.19699536]
Message,[-0.11783428]
有个,[0.4768104]
谁谁谁,[0.2319462]
白衬衫,[-0.19366306]
真的,[-0.12152654]
点开,[-0.40450072]
依然,[0.04737853]
陨落,[0.34171227]
千言万语,[-0.08141071]
一首歌,[0.03942025]
回家吧,[-0.235537]
飘过,[-0.08669534]
风雨飘摇,[0.32802713]
绝情,[0.28653505]
当然,[-0.3668886]
心灰意冷,[-0.15085168]
懵懂,[0.28921965]
陈说,[0.1277831]
片段,[0.2755378]
爱着,[-0.10484996]
神经病,[0.3685351]
短发,[-0.09358871]
已婚,[-0.46365854]
看到,[-0.06769946]
哈姆雷特,[0.2802282]
专属,[0.12004788]
觉得,[0.25333932]
八岁,[0.39026466]
洗漱,[0.40185997]
来电,[-0.11349121]
最后,[-0.24121061]
电影院,[-0.41333872]
没意思,[0.35898215]
多情,[-0.36401486]
一百个,[0.20443399]
喜好,[0.39214724]
歌手,[0.20781192]
一直,[0.10525595]
翻看,[-0.11919587]
夹杂着,[0.3072501]
听懂,[-0.2618226]
床头,[-0.27422905]
作曲,[-0.39234743]
婚后,[0.14203052]
这首,[-0.3922526]
不同,[0.01625024]
难忘,[-0.00360505]
思量,[0.04414437]
假装,[-0.36269787]
动不动,[-0.47605792]
大步,[-0.22641772]
歌唱,[-0.03006257]
伤感,[0.1203764]
或多或少,[0.4656454]
这辈子,[0.27455643]
茫茫,[0.23088396]
握住,[-0.08840366]
小小,[0.0507191]
真想,[0.11441303]
用心,[0.4807076]
时光,[-0.09933344]
背影,[0.10918614]
客厅,[-0.13701922]
小事,[0.49775594]
归来,[0.5026049]
嫁给,[0.23591772]
总会,[-0.01349559]
差点,[0.30289796]
兑现,[-0.09843966]
抛弃,[-0.43328956]
渴望,[0.4202775]
转过身,[0.3813512]
生死,[0.26628613]
勇敢,[-0.22351655]
美好,[0.19369932]
崩溃,[-0.38723323]
欣赏,[0.01963064]
前方,[0.1930782]
安静,[-0.3562968]
女孩,[-0.43573725]
