keyword,vector
好听,[-0.06911222]
大哭,[-0.07392595]
周柏豪,[0.15313312]
首歌,[-0.26932004]
温馨,[-0.16814984]
掌声,[-0.35647205]
粤语歌,[0.44691902]
得不到,[0.11746319]
得到,[0.2752081]
女声,[0.26994658]
听懂,[-0.26103073]
清静,[-0.24342142]
喜欢,[0.3353541]
郑秀文,[-0.40569592]
容祖儿,[0.43556276]
简直,[0.22313055]
分秒,[0.20232596]
广东,[0.5078491]
半粒,[-0.3620681]
陈奕迅,[-0.1600004]
杨千嬅,[0.24642332]
何韵诗,[-0.20148742]
FM,[-0.05423262]
他红得,[0.19646975]
歌名,[-0.05522908]
劣评,[-0.19201124]
谢安琪,[-0.02330306]
不红,[-0.42905888]
整首歌,[0.01394523]
太赞,[0.47130027]
薛之谦,[0.02936075]
郑融,[0.07515401]
KTV,[0.02475829]
这种,[-0.3375516]
这歌,[0.07271309]
室友,[-0.43063805]
刚才,[0.0211075]
逃不了,[0.01000851]
怨念,[-0.24137564]
监视器,[0.37798223]
一事无成,[0.01593656]
同感,[0.3551857]
抢走了,[0.32885763]
哀伤,[0.17303617]
清净,[0.11924821]
共鸣,[0.04776631]
摇摆,[-0.22872092]
普通话,[-0.18225598]
男孩子,[0.29332194]
那句,[0.41808358]
店主,[0.14643529]
发现,[-0.33460447]
珍惜,[-0.23119459]
怪不得,[-0.17248094]
网易,[0.10007825]
妹子,[-0.36087656]
淘宝,[-0.39610955]
女生,[0.43085104]
轨迹,[0.40939572]
前年,[0.0875387]
开心,[0.22726808]
可爱,[-0.15372682]
感谢,[-0.21537945]
冲动,[0.34218717]
好多,[0.4963149]
大街,[-0.2938594]
昨晚,[-0.06472863]
就是,[-0.25928146]
什么,[0.47424152]
懂得,[0.0137036]
阻止,[-0.3274986]
人生,[0.36992776]
私人,[0.3881781]
评论,[-0.3317456]
可惜,[0.20948051]
老婆,[-0.14706384]
故意,[0.31121877]
每次,[0.12638159]
怀疑,[-0.13273036]
好好,[0.10099228]
成就,[-0.3943467]
鼓励,[0.14690533]
一项,[-0.48331046]
遇到,[0.4225502]
大陆,[0.34037137]
当年,[0.44393355]
是不是,[-0.27211398]
跟着,[-0.28437832]
香港,[0.17806995]
最好,[-0.11483748]
听到,[0.3718835]
直到,[0.00290288]
别人,[-0.33663037]
力量,[-0.13910766]
女人,[0.024562]
