keyword,vector
张国荣,[0.16617247]
专辑,[0.33859402]
憨笑,[0.0739454]
哥哥,[-0.49528337]
这张,[0.44133678]
开心,[0.22224975]
流泪,[0.49434876]
leslie,[-0.30838922]
首歌,[-0.2846826]
一首歌,[0.01483282]
推荐,[-0.47744647]
一首,[-0.33346376]
好贵,[-0.09265599]
试音,[-0.09960024]
轻吟,[0.4290343]
牛腩,[0.31268528]
一万遍,[-0.06538717]
矜贵,[-0.3698293]
陈奕迅,[-0.16630559]
爱敢,[-0.24720147]
不群,[-0.18658952]
越难,[0.20573375]
语是,[0.41759655]
artyst,[0.15139163]
集够,[-0.41810474]
细唱,[-0.09168647]
歌里,[-0.35205114]
发小,[0.12095819]
荣迷,[-0.24898826]
伴着,[-0.32770142]
饿晕,[0.40173215]
歌者,[-0.35064566]
喜欢,[0.31691384]
小样,[-0.3103714]
哼唱,[-0.4389241]
先生,[-0.420907]
几秒,[-0.41333598]
坚贞,[0.15071958]
周杰伦,[0.44420528]
一句,[0.47251427]
攻略,[-0.31170565]
转角,[0.15696712]
不敢,[-0.10848669]
心碎,[-0.35802433]
舒心,[-0.47176763]
瑕疵,[0.05353049]
条件,[-0.16240908]
我爱你,[0.40360934]
钟爱,[0.40388575]
愧疚,[-0.39771143]
决定,[-0.0805544]
洒脱,[0.01799753]
耳机,[-0.33938473]
打官司,[-0.23009454]
最后,[-0.24505734]
由衷,[-0.2311068]
满满的,[0.47361773]
不息,[-0.01608796]
不忍心,[-0.2991089]
作曲,[-0.42720312]
最差,[0.01782261]
残忍,[0.21562351]
告终,[0.07215956]
这是,[-0.31173116]
时候,[-0.33194184]
深感,[0.47892955]
倒退,[0.08496437]
嗓音,[-0.19430202]
奈何,[-0.02844417]
生日,[0.04610702]
排队,[-0.20919898]
练习,[-0.4798259]
之作,[0.22140713]
幸运,[-0.26727468]
高水平,[-0.2519797]
青春,[-0.35688946]
望见,[-0.06758086]
恶劣,[-0.30763844]
勇气,[0.4271459]
宝贝,[0.25848997]
气息,[-0.05031365]
对不起,[-0.31267798]
版本,[-0.032102]
完美,[-0.26582733]
个性,[0.12503855]
咳嗽,[-0.14097515]
脾气,[-0.25368866]
弟弟,[-0.08682662]
格外,[0.20837137]
今晚,[-0.17349458]
死后,[0.10884885]
外部,[0.21711753]
家人,[0.05093667]
微微,[0.02922459]
重复,[0.3259713]
感受,[-0.11433088]
满意,[-0.08713805]
评论,[-0.35788596]
学会,[0.37309563]
那天,[-0.15342563]
耳朵,[-0.05802256]
追求,[-0.09316725]
音乐,[-0.47000313]
每次,[0.12726644]
好好,[0.08038072]
为此,[0.12749738]
享受,[-0.10045913]
感情,[-0.34858155]
多么,[0.26236233]
回头,[-0.20209114]
主动,[-0.07543289]
彻底,[-0.41056955]
失败,[0.23685877]
