keyword,vector
吴哥窟,[0.32802]
我愿,[-0.18654321]
花样年华,[0.48191375]
世间,[0.13543637]
惊恐,[-0.33639878]
男儿,[0.35616946]
编曲,[-0.35165647]
王家卫,[-0.40641227]
一个,[0.0785166]
不了了之,[-0.00624111]
封存,[-0.13033867]
树洞,[-0.440306]
这首,[-0.39159957]
当初,[0.44895718]
电影,[0.47246525]
结婚,[-0.42454338]
未婚者,[-0.03922725]
写歌,[-0.42852965]
名字,[-0.2260695]
已婚者,[0.38604403]
想起,[0.3259383]
林若宁,[0.43152934]
吐向,[-0.17119692]
用草,[0.18718304]
正主,[-0.4629039]
听歌,[0.17124842]
秒速,[-0.32859737]
地去,[-0.04142942]
洞壁,[0.09125381]
陈珀,[-0.2794904]
搜神记,[-0.25079182]
梁朝伟,[0.45677042]
钟无艳,[-0.05509321]
做场,[0.22819045]
樱花树,[-0.09320286]
喜欢,[0.34842786]
疼惜,[0.2240458]
假正经,[0.17585756]
过场,[0.21070616]
备胎,[0.45153964]
情敌,[-0.32049716]
富士山,[0.21971379]
乱套,[0.45465708]
欢声笑语,[0.06964672]
首歌,[-0.2732719]
跟你走,[-0.38571534]
秩序井然,[0.13246402]
悲从中来,[-0.1879687]
矫情,[0.27484414]
船票,[-0.1232613]
新海,[0.1489204]
能量守恒,[0.4041754]
自己,[0.47205302]
循环往复,[-0.38914746]
是否,[-0.0365083]
互相残杀,[0.18719724]
红了眼,[0.17535295]
退一步,[0.01498478]
重温,[-0.18461564]
后来,[0.41966516]
梁先生,[0.09056931]
旁观者,[0.3737611]
受了伤,[0.12535717]
双倍,[0.1821556]
不要,[0.05329866]
心声,[-0.28668854]
张敬轩,[-0.1647964]
浮躁,[-0.38787535]
砍死,[-0.3002723]
取名为,[0.28321]
那首,[-0.4757397]
觊觎,[0.32880116]
你们,[0.21927814]
多事,[0.4343806]
哀伤,[0.17295091]
貌似,[-0.21315865]
伤痛,[-0.37306446]
尽忠,[0.00090929]
倾诉,[0.22071399]
那么,[-0.08957111]
歌词,[-0.33736655]
表白,[-0.16625668]
灵感,[-0.1224498]
遗忘,[-0.26810622]
引诱,[-0.18547548]
幼稚,[0.2556256]
不会,[-0.12163967]
不顾一切,[-0.25529468]
混沌,[0.3201204]
作曲,[-0.4019749]
世界,[-0.2558726]
百度,[0.32786238]
无言,[0.280798]
湿热,[-0.48941845]
不加,[0.00635606]
好友,[0.43664023]
每每,[0.46599692]
游人,[-0.4603907]
睁开,[0.4421771]
忍住,[0.34513345]
好久,[0.02820114]
过往,[0.32881698]
多出,[0.3256858]
失眠,[-0.11791895]
热心,[0.47489232]
人去,[0.36529323]
嘲笑,[0.34766972]
无情,[0.1660034]
甘心,[0.21006118]
签名,[0.46212468]
继而,[0.0314652]
如果,[0.36848947]
