keyword,vector
哥哥,[-0.46492508]
张国荣,[0.18469776]
喜欢,[0.33664045]
首歌,[-0.27902743]
好听,[-0.07575316]
声音,[-0.34928063]
就是,[-0.26655942]
别无分店,[0.04799692]
妈妈,[-0.10408658]
东邪西毒,[0.2882426]
只此一家,[0.10284305]
同道中人,[0.08891893]
keep,[0.47746953]
我见,[-0.01699092]
薄荷糖,[0.1180505]
看部,[0.31603816]
荣迷,[-0.23465237]
对荣迷,[0.13752101]
每一,[0.09353758]
能花,[-0.13141613]
花个,[-0.41930026]
坠楼,[0.27980378]
真的,[-0.11032997]
轻风,[-0.09518822]
梦到,[-0.43927166]
拂面,[0.33577603]
那样,[0.03951851]
一首歌,[0.02221523]
姥爷,[-0.48489767]
唱法,[-0.31564873]
悠远,[0.4405856]
孤身一人,[-0.29930016]
够不够,[0.4120005]
其实,[0.33870706]
三分钟,[0.33391628]
在读,[0.48046178]
告诉,[-0.44836867]
年少,[0.0167371]
觉得,[0.23871522]
撒娇,[-0.46973708]
无穷无尽,[0.33895814]
火葬,[0.49918088]
恋人,[0.21532176]
姥姥,[0.21174817]
初夏,[0.37060472]
红茶,[0.04364054]
缘分,[0.42619365]
粉丝,[0.2660804]
万千,[-0.2851521]
迷恋,[0.07621878]
歌手,[0.21887566]
哪来,[-0.22784156]
泪流满面,[0.30252898]
老张,[-0.3160317]
恍然,[0.21081643]
真假,[0.24451198]
日光,[0.11283116]
发现,[-0.32936245]
沐浴,[0.2739862]
网易,[0.09726062]
阻拦,[0.05067083]
爱心,[-0.06485811]
热门,[-0.4203662]
遗体,[0.03722635]
跟风,[0.06206305]
柔和,[0.3442527]
内河,[0.06210024]
歌曲,[-0.08013526]
真心,[-0.00454829]
一种,[-0.33499745]
分手,[0.3200294]
幸运,[-0.25959554]
一员,[0.40269348]
知道,[0.29867578]
温柔,[-0.30996838]
遇见,[0.15376511]
一首,[-0.3022179]
一块儿,[0.23704612]
书籍,[-0.09315937]
美好,[0.1922712]
可爱,[-0.15359323]
崇拜,[-0.46872187]
好看,[0.4388402]
所能,[-0.24579032]
好多,[0.48886284]
不顾,[-0.443863]
信仰,[0.09778825]
超越,[-0.05357601]
午后,[0.31198543]
经典,[-0.49340937]
自己,[0.4607751]
只不过,[-0.4545456]
无人,[-0.18853778]
前去,[0.2466111]
得知,[-0.39468694]
爱情,[0.11068314]
忘记,[0.12095657]
爸爸,[-0.01222503]
一辈子,[0.02258863]
疯狂,[-0.168491]
电影,[0.47851548]
很难,[-0.27656937]
本人,[0.31429517]
首都,[0.43547547]
或许,[-0.03987999]
明天,[-0.18579674]
形象,[-0.4370267]
感情,[-0.33817467]
路上,[0.14880835]
回家,[0.16398142]
后期,[0.46181434]
值得,[0.13053545]
高度,[-0.36806005]
众多,[-0.35909832]
是因为,[0.09466979]
曾经,[0.3927768]
似的,[0.48071063]
是不是,[-0.2722982]
朋友,[0.43125004]
等等,[-0.36875546]
香港,[0.17851728]
判断,[-0.47879416]
刚刚,[0.06902464]
不管,[0.18902484]
最好,[-0.11516521]
小时,[-0.42556712]
大学,[-0.11601135]
里面,[-0.39773217]
感觉,[0.21426389]
想到,[0.4623349]
