keyword,vector
大哭,[-0.09107336]
陈柏宇,[-0.18228406]
away,[-0.2249889]
网易,[0.09497081]
walk,[-0.01822382]
听歌,[0.17151868]
run,[0.28257906]
再红,[-0.4039636]
baby,[0.17824827]
day,[0.0460103]
oh,[0.32310638]
小错,[-0.25237238]
憨笑,[0.06131382]
裁剪,[-0.04525378]
大三,[0.39561376]
想不通,[-0.48159742]
铃声,[-0.32650557]
歌词,[-0.34009272]
静静,[0.3851454]
初中,[-0.04303925]
连个,[0.33742368]
一点点,[0.14102952]
明明,[0.17579134]
英文,[-0.35581574]
难过,[0.44401345]
靠近,[0.01350475]
当初,[0.4389138]
音乐,[-0.4661768]
主动,[-0.07250854]
经常,[0.08991954]
却是,[-0.03871629]
听到,[0.35946763]
喜欢,[0.33191144]
然而,[-0.35438716]
以前,[0.36582717]
希望,[0.3099663]
最后,[-0.24597715]
部分,[-0.2582556]
只是,[0.31948572]
需要,[-0.40720436]
继续,[0.24834]
但是,[-0.2756535]
因为,[0.12609284]
知道,[0.29734686]
现在,[-0.33803368]
不是,[0.19819807]
没有,[0.45509398]
