keyword,vector
电影,[0.48016658]
结婚,[-0.42223075]
找个,[-0.12875086]
心得,[0.00902484]
男朋友,[0.30078575]
只是,[0.33159727]
爱情,[0.11040589]
为了,[0.23967683]
愿意,[-0.12654155]
单身,[-0.3232117]
自己,[0.4658657]
不是,[0.20707586]
分享,[0.20037085]
能够,[0.07333092]
很多,[0.41649023]
框住,[0.22040248]
一直,[0.08472116]
很多遍,[-0.12617156]
一生,[-0.19750218]
群发,[-0.02525163]
单曲,[-0.22176827]
林夕,[-0.11429805]
双前,[-0.4651259]
交友网,[0.0136828]
人过,[-0.25777245]
区文,[0.33777273]
框去,[0.31230825]
脱单,[-0.21747209]
缺个,[-0.2394508]
云才,[-0.04746751]
诗交,[-0.33140463]
快岁,[-0.25831985]
男票,[0.01906613]
如果,[0.36340043]
这歌,[0.07425371]
耐穿,[-0.01294433]
女老师,[-0.36522135]
喜欢,[0.33723307]
交卷,[-0.06463174]
一个,[0.06971359]
婚恋,[0.00664499]
闲言碎语,[-0.3016498]
大四,[-0.37565184]
看着,[-0.45254138]
毫无准备,[-0.36849013]
首歌,[-0.28172025]
第五条,[0.22471209]
同龄人,[0.34867263]
检查一下,[-0.4067258]
神曲,[0.32325158]
二十分钟,[-0.334055]
陆陆续续,[0.37559295]
告诉,[-0.44687045]
双十,[0.39597094]
备好,[-0.12502825]
稳定下来,[-0.47153845]
跌得,[-0.4571034]
夺眶而出,[-0.32358074]
面目全非,[0.12313276]
雨伞,[-0.49268556]
试试看,[-0.35232866]
南方人,[-0.09671468]
一起,[-0.35802278]
觉得,[0.24027269]
学期,[0.35502744]
未婚,[-0.07345772]
一段话,[0.07136259]
有条,[0.13405074]
穿衣服,[0.45553467]
三十多岁,[-0.34616372]
哀伤,[0.17106633]
概论,[-0.4350838]
没有,[0.46730924]
男友,[-0.15201646]
男生,[-0.3840242]
小偷,[-0.06443509]
男孩子,[0.29394302]
不负责任,[0.45063162]
冷清,[-0.40558207]
忠于,[-0.08725236]
执意,[0.39511928]
突如其来,[-0.46929798]
鞋子,[-0.10174152]
网易,[0.09615061]
治愈,[0.4382443]
焦虑,[-0.18772778]
万分,[0.12621422]
大大小小,[-0.00410352]
分手,[0.31330982]
瞬间,[0.11869396]
路口,[0.03726759]
拉住,[0.10297959]
知道,[0.30129877]
刚好,[-0.04880885]
社会学,[0.28113553]
精致,[-0.3955582]
拼命,[-0.4901515]
前方,[0.20063533]
女孩,[-0.4373057]
考试,[-0.10764702]
博士,[0.16303164]
注册,[0.04484686]
