keyword,vector
家驹,[0.33695662]
黄家驹,[0.08460926]
beyond,[0.1828907]
首歌,[-0.28227627]
NAKUPENDA,[0.35460693]
那裤,[0.401378]
AMANI,[-0.1568496]
阿玛尼,[-0.4966401]
表达,[0.30487514]
音量,[0.097628]
偏大,[-0.01282686]
喜欢,[0.331944]
关注,[0.31648898]
自己,[0.4588583]
舍友,[-0.29587483]
副歌,[0.47597262]
和平,[-0.34902868]
音乐,[-0.46614608]
非洲,[-0.28946823]
因为,[0.12403021]
生活化,[-0.44349277]
背景音乐,[-0.38130254]
爱来,[-0.20497656]
人間,[0.410044]
调小,[-0.27055466]
广告曲,[-0.22766016]
armani,[-0.15477826]
縱有,[0.35425612]
world,[0.07108438]
大爱,[-0.21608874]
总问,[0.04715571]
对楼,[0.39257878]
罗大佑,[-0.06981955]
千萬曲,[-0.5017928]
调大点,[0.15605333]
喷家驹,[-0.10426192]
無黃家駒,[0.12205838]
神作,[-0.07024755]
TUNE,[-0.08573069]
世間,[-0.16434075]
TAKE,[0.04532603]
Beyond,[0.32977238]
西裤,[-0.02839862]
意思,[0.03199923]
祈愿,[-0.2443527]
意义,[-0.49188435]
不合身,[-0.16998878]
主唱,[-0.4970292]
伟大领袖,[0.42757553]
哥们,[-0.5003066]
曼德拉,[-0.3686819]
胎教,[0.45757213]
什么,[0.4730528]
一首歌,[0.02375477]
真正,[0.36359832]
他们,[-0.28282908]
除了,[-0.2368477]
我们,[-0.31043205]
两首,[0.37139785]
杰克逊,[0.2360411]
关于,[0.06306724]
传唱,[-0.46791497]
冷眼,[-0.08258615]
情歌,[0.3565111]
谩骂,[0.03626353]
走向世界,[0.18915512]
写照,[0.21145761]
迈克尔,[-0.36005607]
唱道,[-0.03808444]
十分钟,[0.11325028]
国界,[-0.4904506]
弱小,[-0.13681415]
生活,[-0.22156392]
音乐家,[0.12593077]
偶像,[-0.01256206]
即兴,[-0.2627041]
歌手,[0.21323739]
心怀,[0.12162713]
社会,[0.3669373]
会用,[0.05916805]
之旅,[0.07661602]
战火,[0.3365334]
写实,[0.09126624]
呵呵,[-0.44912276]
惋惜,[-0.22368766]
国籍,[-0.2532881]
需要,[-0.4085315]
无辜,[-0.3977682]
庆幸,[0.07895906]
天使,[-0.3638164]
一个,[0.06150838]
天才,[0.32077944]
乐队,[0.14330153]
歌曲,[-0.09086329]
慈善,[0.41897285]
写下,[0.36699256]
发光,[0.1315297]
光辉,[-0.28522462]
只用,[0.16140683]
用心,[0.4859572]
早早,[0.24683815]
邻居,[0.01660518]
岁月,[-0.21443051]
写出,[-0.26558092]
宝宝,[-0.20315617]
离去,[-0.47081304]
电视台,[-0.37591732]
亲人,[-0.04463171]
杀害,[-0.30172625]
从来不,[-0.33975422]
神话,[0.05887974]
村子,[-0.2869652]
上帝,[0.03746699]
度过,[-0.23956634]
就是,[-0.27427173]
肚子,[0.40069753]
内心,[-0.3063837]
抗日,[-0.17453781]
去世,[0.4239062]
超越,[-0.05112487]
长大,[0.13243966]
无奈,[-0.11679929]
阻止,[-0.33409706]
生存,[-0.3651463]
天天,[0.29816365]
爱情,[0.09973979]
全是,[0.49051225]
可怕,[-0.13620827]
哪个,[0.08160824]
儿童,[-0.25564453]
分钟,[0.00596276]
每次,[0.12139349]
就算,[-0.33017215]
不曾,[0.37921447]
真实,[0.08955231]
为何,[-0.4806041]
记得,[0.24280296]
老人,[-0.03758432]
一生,[-0.19941251]
创作,[-0.1588358]
以外,[-0.14673233]
永远,[-0.06728198]
现实,[-0.31919175]
年轻,[-0.36105812]
