keyword,vector
亲亲,[0.19858292]
听的歌,[-0.24450383]
全赞,[-0.06227862]
我要,[0.4004532]
首歌,[-0.28228477]
其实,[0.32954782]
粉色,[-0.3284383]
应该,[-0.13870807]
男朋友,[0.3000307]
异地,[0.00607025]
时候,[-0.32769117]
招手,[-0.39119962]
一个,[0.06487814]
桃花,[0.3009884]
一页,[-0.0213723]
烦恼,[-0.16720043]
感谢,[-0.21682717]
记住,[0.07426316]
没法,[0.39989367]
教训,[-0.35897267]
也好,[0.32157275]
习惯,[0.07734435]
前面,[-0.48590088]
坚持,[-0.12664877]
听到,[0.3576771]
找到,[-0.15566765]
突破,[0.43395585]
大家,[-0.4661276]
所有,[-0.4777945]
生活,[-0.21657409]
