keyword,vector
粤语歌,[0.44462186]
粤语版,[-0.11045409]
害怕,[0.01295498]
记事本,[-0.24827564]
憨笑,[0.05782145]
一个,[0.07152217]
真的,[-0.12544124]
女孩,[-0.43746173]
但是,[-0.28349695]
卑微,[-0.39797366]
那么,[-0.08746123]
一直,[0.08571852]
祝福,[-0.17093748]
没有,[0.45794576]
觉得,[0.23549238]
评论,[-0.32248527]
逗你玩,[0.17728905]
发现,[-0.34732336]
爱情观,[0.29719746]
习惯,[0.06780452]
毕业,[-0.0387545]
掏心,[-0.32505155]
掏肺,[-0.4256924]
国语版,[-0.09756792]
听歌,[0.17127757]
就别,[-0.12038971]
没白过,[0.46860507]
人站,[-0.41661683]
词要,[0.39081407]
他时,[-0.4483282]
当年,[0.44701234]
身强体壮,[-0.21637034]
身边,[0.21539223]
一边,[-0.44169623]
年龄阶段,[-0.4038807]
一文不值,[0.45500126]
也许,[-0.4956997]
以为,[0.42930102]
只爱,[-0.04734912]
绕路,[-0.0976368]
不到,[-0.15843175]
怪怪的,[-0.0064471]
扭捏,[-0.44989443]
自己,[0.46381822]
有生之年,[-0.28893727]
心服口服,[-0.4652646]
年月日,[-0.11277177]
一刻起,[0.39977533]
三心二意,[-0.357171]
妒忌,[-0.39205793]
大大方方,[-0.05274853]
原来,[-0.21466689]
爱着,[-0.09694216]
真心实意,[-0.45115104]
告诉,[-0.4556619]
今天,[0.35539255]
后来,[0.4020785]
潜意识,[-0.35587054]
坐火车,[0.12761252]
初恋,[-0.23693332]
凌乱,[-0.26621187]
看到,[-0.07633458]
璀璨,[0.07528973]
不值钱,[-0.07350379]
谈恋爱,[-0.24319199]
另一半,[0.13807438]
满不在乎,[0.09619468]
剧情,[-0.32578778]
由衷,[-0.22058173]
上位,[0.25880757]
一样,[-0.1893161]
骨髓,[0.30808273]
记着,[0.04620605]
惶恐,[-0.12391128]
那一刻,[-0.44749466]
之后,[-0.24581732]
守护,[0.08656783]
好听,[-0.07617625]
意境,[0.1321933]
越来越少,[-0.14438167]
无条件,[-0.26578593]
换来,[0.07012749]
底线,[0.02744221]
星光,[0.0724486]
增生,[0.46360543]
网易,[0.09214298]
风吹,[0.1470282]
初中,[-0.0419025]
这辈子,[0.26048684]
中途,[0.28226176]
综合征,[-0.37739894]
我怕,[-0.25949293]
住院,[0.3685252]
惊恐,[-0.3271741]
人性,[-0.36930755]
高中,[0.13542663]
试试,[-0.4515434]
大哭,[-0.08665776]
开心,[0.22860141]
因为,[0.14076021]
气质,[-0.0891221]
确诊,[-0.15286347]
分手,[0.3160681]
还是,[-0.02720612]
充实,[0.27118078]
立马,[-0.4150649]
知道,[0.29435965]
一味,[0.21734169]
