keyword,vector
邓丽欣,[-0.4192779]
太远,[0.22906591]
流泪,[0.50252885]
陈冠希,[-0.40719202]
电影,[0.47924837]
一遍,[0.12791306]
不要,[0.04748483]
这首,[-0.3883146]
根本,[-0.1669008]
适合,[0.13312578]
邓丽君,[0.0314497]
滥情,[-0.17768371]
美颜,[-0.31243423]
穿山越岭,[0.332553]
告白,[0.15314578]
只会来,[-0.37825024]
混剪,[0.05627657]
方力申,[-0.41560334]
妈蛋儿,[-0.2998508]
FM,[-0.05943635]
记到,[0.00544116]
迟行,[-0.41060135]
我先,[0.09359185]
女仔,[-0.23660724]
女歌手,[-0.13366169]
害人害己,[-0.28177878]
负面新闻,[-0.4978717]
粤语,[-0.418096]
牵走,[0.33764556]
看了又看,[-0.07062513]
十米,[-0.15841034]
一天,[0.2558905]
矫情,[0.28247914]
九岁,[0.3347601]
心碎,[-0.34848788]
突然,[0.42563105]
奋不顾身,[-0.10528304]
朝夕相处,[-0.17055596]
好多年,[0.04319093]
心软,[0.38309088]
可是,[0.14018181]
然后,[0.3460623]
揣测,[-0.45912474]
求求,[0.14169298]
谈恋爱,[-0.24047494]
歌手,[0.22037958]
天性,[-0.0487761]
想来想去,[0.19152734]
电灯,[-0.25028262]
惶恐,[-0.11070288]
逗留,[0.25996318]
仍能,[0.30430257]
发现,[-0.332315]
播放,[0.25293323]
隔开,[0.32392412]
怀念,[0.20851429]
时候,[-0.32315686]
黑白,[0.20587046]
网易,[0.1016569]
掉头,[0.04648127]
九个,[0.01892622]
盛世,[0.26295322]
心意,[-0.03336157]
低估,[-0.2950491]
还是,[-0.0256941]
视线,[0.23911433]
知道,[0.2993745]
问题,[0.4282853]
总会,[-0.0265256]
身旁,[0.16457279]
擅长,[-0.08690156]
看成,[-0.38198075]
遥远,[0.3073956]
这部,[0.07456209]
独自,[-0.48400554]
看过,[0.4876249]
有用,[0.39039996]
分歧,[-0.31149313]
印象,[0.23287952]
敏感,[0.01031684]
沟通,[-0.06280973]
私人,[0.38927692]
开口,[0.341963]
深刻,[0.50057346]
就算,[-0.33091784]
结婚,[-0.42693296]
好好,[0.09874696]
更好,[0.4071467]
十年,[0.1657827]
反复,[-0.12299018]
理由,[0.12449952]
遇到,[0.42293626]
符合,[0.20521577]
大概,[-0.01869328]
对方,[-0.1315237]
避免,[0.01693853]
情绪,[0.1180492]
想起,[0.31772518]
是不是,[-0.2774759]
要是,[-0.22487721]
刚刚,[0.06561737]
一眼,[-0.07329012]
听到,[0.3605919]
样子,[0.43081602]
哪里,[0.03270642]
第一次,[-0.02584808]
喜欢,[0.3351359]
总是,[-0.38520426]
真的,[-0.10481177]
接着,[0.0008548]
推荐,[-0.47403935]
