keyword,vector
杨千嬅,[0.2477298]
黄伟文,[-0.19853151]
哀伤,[0.16824321]
林夕,[-0.10971346]
容祖儿,[0.43500713]
烈女,[0.143718]
爱得,[-0.43944022]
喜欢,[0.33443725]
英勇,[0.29289466]
一首,[-0.3009914]
何必,[0.49323574]
所得,[0.16168062]
暂放,[0.08938071]
那么,[-0.08547316]
电影,[0.4741849]
低姿态,[0.25412482]
明心志,[-0.03802125]
不相为谋,[-0.33448774]
第七年,[0.19620548]
第十年,[0.13067222]
反酸,[-0.43152916]
千军,[0.3997835]
第八年,[0.02509134]
情窦初开,[0.24982055]
这番,[-0.06477942]
心悦,[0.38977733]
有枝,[-0.02058008]
第五年,[0.42776182]
挤逼,[-0.35561326]
飞女,[0.2517879]
微博上,[0.47985986]
回人海,[-0.01173674]
渐行,[-0.45938054]
可错,[0.30875373]
口硬,[-0.13854255]
若知,[-0.01406819]
班到,[0.43304154]
丑屋,[0.01171676]
第九年,[0.1476368]
勇唱得,[0.03733204]
金句,[-0.02023807]
可哭,[0.19751425]
人海中,[-0.1673511]
勇山,[-0.04540633]
木兮木,[0.43452176]
必曾,[-0.25512958]
歌里,[-0.33647612]
别要,[0.08476335]
钟无艳,[-0.04994374]
女金,[-0.36450174]
新扎,[0.32716075]
拍错,[0.23557626]
相照,[0.5029565]
君兮君,[0.04991237]
虽细,[0.11324666]
勇字,[0.5013523]
深才,[-0.18529668]
渐远,[0.43362147]
唯愿,[0.26198843]
静水流,[0.47335252]
英勇无畏,[0.02229166]
港岛,[-0.45669916]
野孩子,[-0.08295849]
第六年,[-0.21712434]
芸芸,[-0.35079333]
阿赖耶识,[0.12515678]
第四年,[-0.04475688]
婚纱照,[-0.2675804]
总是,[-0.37558764]
低到,[0.35917842]
生存之道,[-0.1653248]
感言,[0.03219611]
稀里哗啦,[-0.42937294]
富士山,[0.22840643]
某次,[-0.2566486]
长路,[0.43606234]
叱咤,[-0.29491064]
正传,[0.16169961]
杨小姐,[-0.25475672]
幽怨,[-0.42986292]
傲气,[0.42472845]
释然,[0.2925837]
之前,[-0.39500707]
独独,[-0.4741163]
赤诚,[-0.33915862]
安好,[0.10701928]
可不可以,[-0.25824404]
师妹,[-0.31406942]
不痛,[0.3885632]
第三年,[-0.2560942]
万马,[-0.49058703]
无畏,[-0.32619733]
坚毅,[-0.3291864]
二十多岁,[-0.29261667]
馈赠,[-0.47467056]
插曲,[-0.33994195]
霎时,[0.43346906]
疲惫不堪,[0.4809368]
唱得,[0.32629395]
钟情,[0.13169989]
肝胆,[-0.315243]
豁出去,[0.00095367]
传为,[-0.45937622]
不怕死,[0.47672528]
姻缘,[0.13684607]
高一,[0.26429424]
天涯,[-0.17778349]
第一年,[-0.16409504]
心口,[0.45442092]
放得,[-0.28366163]
