keyword,vector
迪士尼,[0.26817828]
前任,[0.23380639]
陈慧琳,[0.41255507]
歌名,[-0.06038121]
call,[-0.37434813]
首歌,[-0.27879375]
大哭,[-0.0818855]
少女,[0.08923618]
老鼠,[0.30890217]
快乐,[-0.43534538]
味道,[-0.18573965]
从未,[-0.32516208]
干净,[0.27997825]
迪斯尼,[-0.22069475]
金曲,[-0.33327097]
一種,[-0.31343466]
别恋,[0.03933894]
堆死,[0.07772715]
仲未,[0.44915336]
劲歌,[-0.4423062]
号会,[0.15592612]
kelly,[0.36825034]
只令,[-0.06763529]
没白,[0.14846168]
广告歌,[-0.03688164]
知道,[0.29833922]
每天,[0.08452808]
坚持,[-0.1228096]
香港,[0.17626055]
游遍,[0.42334282]
美特斯,[0.1595975]
端木,[0.06713086]
看着,[-0.45264646]
无法,[-0.34412965]
七夕,[-0.22311755]
亏欠,[0.34842083]
照镜子,[0.5045952]
一梦,[-0.25525635]
暗里,[0.11571122]
有人,[-0.24281277]
周游,[-0.16851851]
带我去,[0.3942011]
一点,[-0.02463502]
自问,[0.40446264]
出点,[-0.04082998]
不缺,[-0.10061572]
祈求,[0.16496077]
依稀,[-0.5034011]
上海,[0.43730012]
皱眉,[0.20871012]
男生,[-0.37874767]
男朋友,[0.31926355]
相爱,[0.45205396]
打入,[0.2467089]
单身,[-0.319547]
发音,[-0.44045794]
流浪,[0.13728993]
打扰,[-0.2695022]
祝福,[-0.16616277]
好友,[0.44019666]
旋律,[-0.12254672]
时候,[-0.311801]
家门口,[-0.44035524]
好久,[0.02325953]
一个,[0.06927907]
女生,[0.4285492]
餐厅,[-0.41397536]
悲伤,[0.2961635]
有种,[0.19083378]
嗓音,[-0.18439832]
积分,[-0.00840161]
早日,[0.02445883]
第四次,[-0.06423293]
上个月,[-0.00719569]
搭配,[-0.13593522]
镜子,[0.23028262]
十足,[0.2636657]
欺骗,[0.38714206]
原谅,[0.04743525]
虚假,[0.284303]
六个,[-0.49421126]
厦门,[-0.02586813]
女孩子,[-0.21015722]
一首,[-0.2890059]
烦恼,[-0.17185937]
出现,[-0.26168013]
可爱,[-0.1540653]
公主,[0.45531583]
说不出,[0.32177937]
女孩,[-0.44416407]
没法,[0.39880466]
春天,[0.02136045]
冬天,[0.4273338]
媳妇,[-0.39055476]
居然,[-0.07117072]
无数,[0.3705642]
答案,[0.1851325]
评价,[-0.07090386]
那天,[-0.13578546]
十大,[-0.26737645]
一遍,[0.12084008]
五年,[0.48031372]
记得,[0.23826326]
能否,[-0.21698532]
门口,[-0.34359512]
从此,[0.30569422]
衣服,[-0.44475597]
证明,[-0.23707835]
几天,[0.33677268]
自由,[-0.16090128]
当年,[0.44846717]
