keyword,vector
亲亲,[0.20078373]
青春,[-0.34560177]
马尾辫,[-0.4101688]
想起,[0.31692642]
rider,[-0.1102102]
歌里,[-0.3353344]
kick,[-0.34908792]
字来,[0.3582741]
大过天,[0.35687873]
暗恋,[-0.02303412]
校服,[-0.12771502]
女校,[-0.3401297]
很傻,[-0.01777108]
盖世英雄,[-0.44126496]
广播站,[0.06468976]
小卖部,[0.01782873]
怦然心动,[0.13094772]
乱撞,[-0.32437217]
首歌,[-0.28211197]
一首歌,[0.02033483]
独当一面,[0.1537896]
乐此不疲,[-0.01870785]
哈哈哈,[0.20272855]
初恋,[-0.23131603]
小鹿,[-0.06282561]
黑板,[-0.07145794]
撒娇,[-0.47047615]
无敌,[-0.43312865]
前奏,[-0.37869892]
操场,[-0.00657585]
课本,[-0.08618645]
表白,[-0.16420235]
男生,[-0.37810814]
单身,[-0.32483652]
曲调,[-0.03855274]
旁人,[0.08437309]
那颗,[-0.14707877]
网易,[0.09778549]
歌声,[0.14772728]
初中,[-0.04489214]
杂质,[0.46642148]
一瞬间,[0.03789239]
恋爱,[0.04597529]
老夫,[0.45867437]
少女,[0.08971169]
女孩子,[-0.21577547]
形容,[-0.40593007]
超级,[-0.04845499]
公主,[0.44589156]
听得,[0.08092707]
看起来,[-0.10998326]
想不到,[-0.2533237]
自己,[0.4610009]
想想,[-0.23720367]
单纯,[0.35546407]
重复,[0.32812586]
简直,[0.21461435]
对方,[-0.13185424]
别的,[0.05925078]
日子,[-0.24789594]
当年,[0.44189748]
经常,[0.08865521]
学生,[0.2836183]
听到,[0.36098292]
喜欢,[0.33326733]
即使,[-0.3706887]
时代,[0.21391846]
只能,[-0.13470905]
希望,[0.3113513]
除了,[-0.24061002]
任何,[0.48550436]
事情,[0.3293698]
然后,[0.34581217]
那些,[0.20667806]
所有,[-0.4775752]
表示,[-0.02541781]
认为,[-0.30236295]
就是,[-0.26839206]
可以,[0.1359533]
