113051,左麟右李,总有你鼓励
119106,吕方,流浪花
27612780,梅艳芳,逝去的爱
329925,周慧敏,最爱
335131,周影,情路茫茫
335191,周影,让我愉快爱一次
212409,陈慧娴,孤单背影
116869,林子祥,敢爱敢做
311170,徐小凤,每一步
264948,李彩桦,断肠说
186760,张国荣,风再起时
224133,邓丽欣,黑白照
26620818,张国荣,缘分
191528,周柏豪,够钟
298258,吴雨霏,吴哥窟
256629,林忆莲,对不起谢谢你
114037,黎明,夏日倾情
191171,郑中基,无赖
28068308,薛凯琪,给十年后的我
187564,张国荣,左右手
219293,车婉婉,会过去的
28636060,卢巧音,喜欢恋爱
121639,刘浩龙,思觉失调
94682,郑秀文,如何掉眼泪
316686,杨千嬅,处处吻
65763,陈奕迅,黑择明
32785335,李克勤,世界真细小
86464,古巨基,重复犯错
25639351,吴雨霏,人非草木
316517,杨千嬅,自由行
187837,张国荣,有心人(Live)
4871771,谭咏麟,雾之恋
212376,陈慧娴,傻女
65778,陈奕迅,粤语残片
26620762,张国荣,风继续吹
26620787,张国荣,今生今世
404184209,陈洁仪,等
64927,陈百强,等
316498,杨千嬅,勇
303831,吴日言,灰
29460208,谢安琪,C餐
29825667,刘德华,17岁
26353080,陈僖仪,蜚蜚
135171,麦浚龙,彳亍
299981,王菲,暧昧
64833,陈奕迅,沙龙
26584453,李悦君Ericaceae,梦伴
306709,许美静,倾城
407002484,李克勤,天梯
5256469,卫兰,大哥
298061,吴雨霏,告白
186707,张国荣,想你
64443,陈奕迅,约定(Live)
189140,张敬轩,酷爱
347355,Beyond,情人
234225,关心妍,情歌
191534,周柏豪,宏愿
5257259,邓丽欣,偏爱
5250142,廖碧儿,实情
26402069,郑欣宜,上心
316510,杨千嬅,稀客
118261,梁汉文,七友
5231301,侧田,情歌
26902930,卫兰,如水
368581,MY GIRLS,新人
26432068,官恩娜,失常
27483089,卢巧音,花奴
353734,EO2,内疚
244126,黄伊汶,残忍
224883,邓颖芝,敏感
66753,陈柏宇,逸后
78284,邓健泓,阿四
225112,戴辛尉,凶手
340671,郑欣宜,直觉
331324,钟嘉欣,发誓
254746,梁咏琪,嫌弃
224134,邓丽欣,话别(Piano '05)
255870,梁咏琪,Today
316735,杨千嬅,Single
188927,张学友,有个人
298250,吴雨霏,我本人
82082,方力申,无双谱
31426608,陈奕迅,无条件
316486,杨千嬅,野孩子
186536,张国荣,当年情
331196,钟嘉欣,爱得起 (Solo)
298489,吴雨霏,座右铭
33471531,麦浚龙,罗生门
192409,张智霖,祝君好
224086,邓丽欣,电灯胆
307015,薛凯琪,南瓜车
5251704,吴卓羲,别怪她
171075,许志安,昨迟人
94545,卢巧音,三角志
308353,谢安琪,钟无艳
214254,陈慧琳,再生花
224877,邓颖芝,等半天
224837,邓颖芝,苦情人
5243188,江若琳,手掌印
64355,侧田,情永落
189155,张敬轩,我的天
353655,E-kids,下学期
353638,E-kids,玩玩具
171386,小肥,时光机
86943,古巨基,必杀技
5250032,邓丽欣,十分.爱
5256495,卫诗,Get Out
190270,张学友,饿狼传说
94639,陈小春,相依为命
300587,王菲,执迷不悔 (粤语版)
187408,张国荣,愿你决定
189841,张学友,离开以后
187402,张国荣,午后红茶
212233,陈慧娴,千千阙歌
347230,Beyond,海阔天空
346075,Beyond,真的爱你
35470022,泳儿,独一无二
26584442,Soler,风的季节
191560,周柏豪,一事无成
65758,陈奕迅,裙下之臣
34040816,薛凯琪,那一个我
186331,陈奕迅,最冷一天
28457932,林奕匡,高山低谷
193535,郑伊健,友情岁月
64797,陈奕迅,于心有愧
94547,卢巧音,落地开花
191232,张学友,遥远的她
186314,李克勤,梦到内河
5261521,邓丽欣,好好恋爱
27901932,周笔畅,花樽与花
34916656,周笔畅,愚公移山
189706,张卫健,把酒狂歌
65766,陈奕迅,富士山下
234253,关淑怡,男左女右
5257264,邓丽欣,亲朋勿友
82021,方力申,自欺欺人
152266,谭咏麟,谁可改变
27713963,卢巧音,好心分手
179884,叶文辉,好心分手
328169,郑秀文,终身美丽
279108,麦家瑜,透明人间
248286,江若琳,眼泪无用
27713976,卢巧音,落地开花
26260468,官恩娜,戲中有氣
5243324,陈慧琳,文字流泪
213292,陈慧琳,有时寂寞
66780,陈柏宇,永久保存
169703,许志安,苦口良药
140532,区瑞强,后备情人
256066,林嘉欣,视而不见
86236,古巨基,以你为荣
113289,李克勤,合久必婚
308169,谢安琪,年度之歌
28977275,Twins,伤心情歌
298535,吴雨霏,分手要狠
217489,陈苑淇,幸运水晶
353653,E-kids,开始恋爱
358440,HotCha,唯一的你
147030,孙耀威,爱的故事(上)
234289,关心妍,差一分钟(十时)
4872717,江若琳,旁观者伤(特别版-FULL)
29744199,奔奔,街角祝福2
66769,陈柏宇,I Miss You
229285,邓丽君,漫步人生路
347712,Beyond,无悔这一生
153784,谭咏麟,一生中最爱
187527,张国荣,你这样恨我
26620804,张国荣,人生的鼓手
152392,谭咏麟,讲不出再见
316938,杨千嬅,再见二丁目
279111,麦家瑜,听到的神话
234228,关心妍,爱是不保留
214033,陈慧琳,临走前吻我
198037,周吉佩,第二次初恋
28256164,关心妍,如何离开你
378879,Square,今季拍拍拖
63661,陈小春,我不是伟人 (粤)
5256471,谢安琪,我歌...故我在
186490,张国荣,心跳呼吸正常
229292,傅颖,画纸上的戒指
316697,杨千嬅,有过去的女人
279103,麦家瑜,杀死我的温柔
125352,林颐,墨尔本的翡翠
229294,傅颖,花吃了这女孩
331261,钟嘉欣,恋爱令人心痛
224109,邓丽欣,被遗弃的公主
190360,张学友,等你等到我心痛
28493645,连诗雅,只要和你在一起
213357,陈慧琳,他约我去迪士尼
316654,杨千嬅,可惜我是水瓶座
307024,薛凯琪,奇洛李维斯回信
26902923,卫兰,My Cookie Can
234064,G.E.M.邓紫棋,Where Did U Go
27511485,陈柏宇,I Will Be Loving You
229243,傅颖,谁羡慕像我这样强的人
26902929,卫兰,你知道我在等你们分手吗?
