keyword,arousal_value
首歌,0.3979035639745546
哥哥,0.5714285714285716
张国荣,0.6602923015652561
大哭,0.5432044974441546
重度,0.33333333333333337
哀伤,0.07899045416298822
走远,0.5
总能,0.3026315789473685
嗓音,0.5217391304347829
不止,0.4615384615384618
自己,0.4032472717593826
深情款款,0.5591719665793742
舍友,0.13401726772444844
明星,0.7777777777777779
黄家驹,0.816163087004005
世界,0.5080000000000003
物换星移,0.5
荧光棒,0.9259895812515823
像是,0.4032472717593826
颁奖礼,0.8735145966103579
蜡像馆,0.5967527282406182
快化,0.5
两字,0.18296494683215803
深积,0.33659873137409524
杜莎,0.4252655538694995
沈珂活,0.477759741277193
唐叔,0.3568927093282399
里入,0.2372329257109188
极美地,0.17451545107807298
荣迷,0.8019866684093584
随年,0.33333333333333337
Leslie,0.5
KTV,0.5499999999999999
愿来生,0.2303702364120609
旧调,0.20527963284062112
这歌,0.4086223055295223
吹出来,0.4042553191489361
养父母,0.22028521700073045
载满,0.4568724456872456
感觉,0.5016949152542375
焦虑症,0.09716879936723244
唱着歌,0.4335806850681392
这个,0.4032472717593826
那样,0.4032472717593826
辞海,0.08902679766740007
陪陪,0.013669870394345085
女皇,0.4660845806604891
抑郁症,0.07469100842855736
光怪陆离,0.33033740975394177
我们,0.4032472717593826
回来,0.4054054054054055
可不可以,0.16666666666666674
诋毁,0.5
越深,0.24595169458986688
告诉,0.280701754385965
春光,0.5
特写,0.5
伟人,0.6666666666666666
的话,0.4032472717593826
一起,0.4032472717593826
太急,0.5
政要,0.5
今生,0.5
没有,0.4032472717593826
不配,0.3374244853812657
小品,0.33333333333333337
落泪,0.33333333333333337
离别,0.19999999999999996
情怀,0.30000000000000027
旧日,0.5
缠绕,0.5
一曲,0.28448275862068995
女朋友,0.1919766381754766
磁带,0.9375
悠悠,0.1428571428571429
脑海,0.2857142857142859
我心,0.2799999999999998
竟会,0.16717005144841024
太快,0.3817147437630384
镜头,0.5555555555555558
治愈,0.17647058823529416
庆幸,0.711520152332593
双向,0.5
跟风,0.21649484536082497
患有,0.6666666666666671
陈列,0.5
初中,0.3437500000000001
沉淀,0.37500000000000044
从没,0.4003906250000001
过得,0.5
唯有,0.27272727272727293
时光,0.17647058823529416
流泪,0.3129770992366411
快要,0.30000000000000027
来时,0.5
讽刺,0.37500000000000044
温柔,0.16666666666666674
比起,0.40000000000000013
离去,0.4285714285714288
这样,0.4032472717593826
生前,0.4285714285714288
美好,0.17333333333333356
可爱,0.20370370370370372
遗憾,0.23684210526315785
难过,0.23076923076923106
记住,0.6086956521739129
情感,0.15384615384615385
悄悄,0.09523809523809534
这份,0.18518518518518534
他们,0.4032472717593826
表情,0.6000000000000002
障碍,0.5
微笑,0.23076923076923084
音乐,0.4787775891341257
那边,0.4032472717593826
几次,0.2547528517110266
留在,0.30188679245283045
或许,0.3103448275862072
到来,0.5833333333333336
一根,0.3103448275862072
