keyword,arousal_value
许美静,0.7575267191862427
流泪,0.3129770992366411
首歌,0.3979035639745546
三级片,0.6636572189743215
好听,0.3846153846153846
Frankie,0.5
小思,0.19476331831009763
陈佳明,0.06370539805218323
版本,0.2807017543859651
离婚,0.11764705882352944
唯美,0.9173486088379708
一千个,0.4615384615384618
每个,0.4032472717593826
困惑,0.19999999999999996
再见,0.5000000000000004
向西,0.2222222222222221
看过,0.35060975609756095
然后,0.4032472717593826
漱口杯,0.33033740975394177
无一不知,0.2993099816434108
幸福,0.18085106382978733
专情,0.6917829120920116
一路,0.29166666666666685
粉底液,0.4509276081342307
同一首歌,0.3979035639745546
一段,0.27472527472527475
作曲者,0.6666666666666666
一百种,0.4522062531207802
更衣室,0.775433568852216
前面,0.4032472717593826
重温旧梦,0.0957907765691618
私密性,0.5
白裙,0.5
于性,0.5
多棒,0.5
陈奕迅,0.07021508843461322
迅版,0.5
跟许,0.6785714285714284
车副座,0.3709179958828104
听歌,0.4570517167358018
长情,0.24535279511543462
爱成,0.15878636788577594
袁耀发,0.8056900757980264
撕来撕去,0.740433384916114
Zeta,0.5
D版,0.47754381694255144
陈奕,0.0926082736115984
片尾,0.44111064656550447
许美,0.5554896297213939
Message,0.5
有个,0.4032472717593826
谁谁谁,0.4032472717593826
白衬衫,0.04420172706123582
真的,0.32327586206896575
点开,0.4420213969904566
依然,0.41379310344827636
陨落,0.7337321139615652
千言万语,0.5
一首歌,0.3979035639745546
回家吧,0.2000000000000003
飘过,0.6666666666666666
风雨飘摇,0.5967527282406174
绝情,0.49662199579133903
当然,0.4032472717593826
心灰意冷,0.5
懵懂,0.6139307708643023
陈说,0.08932616459372178
片段,0.19999999999999996
爱着,0.18248175182481763
神经病,0.7142857142857144
短发,0.18181818181818177
已婚,0.5
看到,0.4032472717593826
哈姆雷特,0.5
专属,0.5
觉得,0.4032472717593826
八岁,0.3151838915142803
洗漱,0.5
来电,0.5
最后,0.4032472717593826
电影院,0.2857142857142859
没意思,0.5
多情,0.33333333333333337
一百个,0.36363636363636365
喜好,0.16666666666666674
歌手,0.44444444444444464
一直,0.4032472717593826
翻看,0.3304290354118079
夹杂着,0.2500000000000001
听懂,0.5115517257452102
床头,0.5
作曲,0.19999999999999996
婚后,0.6666666666666666
这首,0.392575928008999
不同,0.4032472717593826
难忘,0.27272727272727293
思量,0.33333333333333337
假装,0.2500000000000001
动不动,0.044003527994072256
大步,0.6666666666666666
歌唱,0.3333333333333337
伤感,0.06666666666666665
或多或少,0.6666666666666666
这辈子,0.30000000000000027
茫茫,0.18181818181818177
握住,0.40000000000000013
小小,0.2500000000000001
真想,0.21467083563077605
用心,0.3076923076923076
时光,0.17647058823529416
背影,0.2222222222222221
客厅,0.19999999999999996
小事,0.33333333333333337
归来,0.40000000000000013
嫁给,0.1428571428571429
总会,0.18465770302181717
差点,0.5769230769230771
兑现,0.33333333333333337
抛弃,0.36363636363636365
渴望,0.5200000000000005
转过身,0.21644955969464752
生死,0.5000000000000004
勇敢,0.4374999999999999
美好,0.17333333333333356
崩溃,0.3571428571428572
欣赏,0.40740740740740744
前方,0.6000000000000002
安静,0.15714285714285714
女孩,0.1911764705882354
