keyword,arousal_value
杨千嬅,0.2864796368919751
黄伟文,0.9744798852679312
哀伤,0.07899045416298822
林夕,0.33333333333333337
容祖儿,0.49662199579133903
烈女,0.5827647348242221
爱得,0.5
喜欢,0.20087336244541487
英勇,0.7142857142857144
一首,0.392575928008999
何必,0.27272727272727293
所得,0.33333333333333337
暂放,0.5
那么,0.4032472717593826
电影,0.3571428571428572
低姿态,0.27564444080160666
明心志,0.4252655538694986
不相为谋,0.46710485970520366
第七年,0.5073053383156265
第十年,0.20471676560419394
反酸,0.5
千军,0.8587036675491599
第八年,0.33985874763106483
情窦初开,0.9847194644503118
这番,0.33333333333333337
心悦,0.2500000000000001
有枝,0.2500000000000001
第五年,0.29171540451337286
挤逼,0.5596547679702912
飞女,0.3933811124158131
微博上,0.41154850225361217
回人海,0.22931060934350045
渐行,0.10399730961464893
可错,0.32653061224489777
口硬,0.3162200282087444
若知,0.2692307692307694
班到,0.375
丑屋,0.5
第九年,0.4070336781423758
勇唱得,0.9568159216656092
金句,0.7111131249398215
可哭,0.44897959183673475
人海中,0.24329499067943527
勇山,0.9321649022931526
木兮木,0.2389136689552288
必曾,0.6551411991525832
歌里,0.30060329395300156
别要,0.4032472717593826
钟无艳,0.5967527282406174
女金,0.6769080361443178
新扎,0.3262910228733602
拍错,0.2934867091559149
相照,0.5
君兮君,0.1978468055065301
虽细,0.2500000000000001
勇字,0.5
深才,0.24979573646289877
渐远,0.09281571255161913
唯愿,0.5
静水流,0.41531977955819066
英勇无畏,0.7872191011235956
港岛,0.33333333333333337
野孩子,0.18192198127341908
第六年,0.33985874763106405
芸芸,0.5
阿赖耶识,0.5967527282406182
第四年,0.5
婚纱照,0.40000000000000013
总是,0.4032472717593826
低到,0.39130434782608714
生存之道,0.813217286893316
感言,0.5
稀里哗啦,0.14466149403964934
富士山,0.14659048615372228
某次,0.5
长路,0.5
叱咤,0.5
正传,0.5
杨小姐,0.03786778367057397
幽怨,0.5
傲气,0.5
释然,0.21201948082651645
之前,0.4032472717593826
独独,0.5
赤诚,0.5
安好,0.08883528246044481
可不可以,0.16666666666666674
师妹,0.7650215590780783
不痛,0.10863481934932406
第三年,0.3544843568352145
万马,0.5640363411487536
无畏,0.5
坚毅,0.5
二十多岁,0.3245418488173477
馈赠,0.5
插曲,0.5
霎时,0.5
疲惫不堪,0.07797040463231841
唱得,0.428115015974441
钟情,0.2666666666666667
肝胆,0.5
豁出去,0.4536495872302333
传为,0.5
不怕死,0.577319587628866
姻缘,0.33333333333333337
高一,0.5048543689320389
天涯,0.5000000000000004
第一年,0.3980921909370646
心口,0.201139555236571
放得,0.457943925233645
