keyword,arousal_value
林夕,0.33333333333333337
释怀,0.40000000000000013
客尘,0.5
安慰,0.18750000000000022
自己,0.4032472717593826
引渡,0.5
刺痛,0.2474750262155746
喜欢,0.20087336244541487
我们,0.4032472717593826
讲述,0.125
一点点,0.2857142857142859
小事,0.33333333333333337
这么,0.4032472717593826
集齐,0.2500000000000001
这句,0.356687898089172
放下,0.3181818181818181
痛如离,0.1798167345056444
陈奕迅,0.07021508843461322
永隔,0.49268537703271187
这太,0.3558718861209964
中林夕,0.49662199579133903
Kong,0.5
能画,0.5
HM,0.5
个赞,0.36082474226804107
难避,0.5591719665793742
夕爷,0.5
Eason,0.2500000000000001
当有,0.4032472717593826
歌和乐,0.7649014214304135
张婉怡,0.41830281717533235
心若工,0.33491454737240034
眼酸,0.5
二字,0.12934318813695855
这歌,0.4086223055295223
占有欲,0.014029861954168332
朋友,0.25384615384615394
粤语,0.5
别人,0.2540983606557379
首歌曲,0.5078597463441394
如花,0.18627450980392157
就是,0.4032472717593826
吐字,0.33333333333333337
人潮,0.42394134899771685
真正,0.4032472717593826
儿歌,0.7984821949549564
扬帆,0.5
决绝,0.8712188369014803
旧情,0.33333333333333337
情歌,0.5
大张旗鼓,0.33333333333333337
画师,0.5
此生,0.2500000000000001
若想,0.27884615384615397
说白了,0.2500000000000001
远航,0.5
一举一动,0.33333333333333337
表白,0.05618967146908027
离别,0.19999999999999996
劝慰,0.5
心痛,0.07856172080904456
手心,0.16666666666666674
最怕,0.24339823488526713
劝解,0.4804972138876983
大作,0.7500000000000002
好听,0.3846153846153846
炫耀,0.2500000000000001
每每,0.4285714285714288
时候,0.4032472717593826
江水,0.2500000000000001
废墟,0.8
但是,0.4032472717593826
好不好,0.1739354589508314
致命,0.5
试探,0.2500000000000001
往事,0.15789473684210542
一首,0.392575928008999
告别,0.30000000000000027
度过,0.40000000000000013
体验,0.3333333333333337
看待,0.33333333333333337
某个,0.4032472717593826
技巧,0.5
吸引力,0.2500000000000001
弟弟,0.3333333333333337
动静,0.33333333333333337
经典,0.6428571428571431
艰难,0.4285714285714288
当作,0.40000000000000013
两岸,0.33333333333333337
很小,0.16568814825635925
据说,0.6000000000000002
全是,0.5783132530120483
可怕,0.41666666666666685
色彩,0.40000000000000013
一身,0.6666666666666671
身份,0.44444444444444464
留在,0.30188679245283045
彻底,0.4032472717593826
没有,0.4032472717593826
故事,0.11805555555555569
寻找,0.41176470588235314
不了,0.35728385313857103
想起,0.25531914893617036
日子,0.1428571428571429
是因为,0.4032472717593826
是不是,0.35728385313857103
身边,0.1923076923076925
最好,0.29601087861426234
此时,0.4032472717593826
认识,0.4032472717593826
真是,0.4032472717593826
找到,0.2876712328767127
真的,0.32327586206896575
依然,0.41379310344827636
离开,0.15000000000000002
感到,0.2941176470588238
或者,0.4032472717593826
选择,0.2142857142857142
心里,0.4032472717593826
突然,0.4032472717593826
不要,0.4032472717593826
很多,0.2959999999999997
几个,0.4032472717593826
必须,0.4032472717593826
那个,0.4032472717593826
那么,0.4032472717593826
一直,0.4032472717593826
产生,0.4032472717593826
怎么,0.4032472717593826
对于,0.4032472717593826
发现,0.35838150289017345
只是,0.3229813664596275
出来,0.4032472717593826
