keyword,arousal_value
林子祥,0.5967527282406174
碟片,0.5
大招,0.5934013629650724
ktv,0.4285714285714288
男人,0.34883720930232565
时候,0.4032472717593826
街头,0.37500000000000044
大爷,0.33333333333333337
周海媚,0.5476752707434248
港片,0.5
音乐,0.4787775891341257
原唱,0.17424709606781474
刘青云,0.3074602303894678
港剧,0.5
一下子,0.16666666666666674
广东,0.33333333333333337
事假,0.5
林真,0.41415746111501084
祥叔,0.4252655538694995
经典歌曲,0.741872827642609
张兆辉,0.6602923015652561
林是,0.5
整首歌,0.43895637854059755
激吻,0.33033740975394255
陈法蓉,0.5967527282406182
棒呆,0.7712677308355996
VCD,0.5
假音,0.8206361202152368
尽释前嫌,0.407206602325628
少多,0.32894736842105265
进键,0.5
人字拖,0.04420172706123582
两三句,0.28218132198503554
浪子回头,0.20328225587088544
周慧敏,0.5476752707434248
排除万难,0.5
粤语,0.5
胡茬,0.6397488942787843
真是,0.4032472717593826
冰激凌,0.244967224872359
下午茶,0.15519688037195567
装下,0.31295162688747113
林先生,0.5
流行歌曲,0.6666666666666666
咖啡厅,0.05807989223356291
裤衩,0.7474579096516083
一首歌,0.3979035639745546
夜雨,0.2500000000000001
真爱,0.13629285382889322
芭蕉扇,0.8554803014404273
装到,0.4107142857142858
奋不顾身,0.5000000000000004
断气,0.3247609921333544
迸发,0.5
十几年来,0.6984975752831081
把玩,0.47916666666666663
快进,0.3909643951799354
脑海中,0.2784069839044956
随时随地,0.5
盗版,0.7500000000000002
恋人,0.04994147861293907
很多年,0.3021257792041131
红灯,0.7500000000000002
满满,0.3076923076923076
摇着,0.6363636363636364
歌手,0.44444444444444464
歌词,0.3688524590163934
二十岁,0.3245418488173477
遥控,0.6666666666666666
哗哗,0.4032472717593826
破旧,0.2500000000000001
听不懂,0.4628176217233171
这首,0.392575928008999
上身,0.33333333333333337
马路,0.6250000000000003
忧郁,0.16666666666666674
慎重,0.5
融化,0.40000000000000013
歌唱,0.3333333333333337
主演,0.5
浮现,0.5555555555555558
相遇,0.16000000000000014
场景,0.35294117647058854
认出,0.33333333333333337
泛滥,0.33333333333333337
十几年,0.6984975752831081
黎明,0.875
静止,0.6666666666666666
凭着,0.6666666666666666
其他人,0.332129963898917
画面,0.37500000000000044
透过,0.0769230769230771
遗憾,0.23684210526315785
激情,0.8666666666666667
女士,0.5
转动,0.4032472717593826
满脸,0.5
独自,0.11538461538461553
偶尔,0.26315789473684226
分开,0.13333333333333341
听得,0.45152603231597865
印象,0.7000000000000001
对面,0.5238095238095241
超越,0.6000000000000002
试图,0.33333333333333337
经典,0.6428571428571431
小学,0.26315789473684226
玻璃,0.2857142857142859
夏天,0.1692307692307693
全是,0.5783132530120483
彼此,0.4032472717593826
全世界,0.4285714285714288
一双,0.5135135135135134
优秀,0.37500000000000044
可惜,0.3414634146341464
穿着,0.2857142857142859
评价,0.5000000000000004
想象,0.5
东京,0.2500000000000001
眼泪,0.15384615384615385
再也,0.34259259259259267
一对,0.4032472717593826
内地,0.6666666666666666
仿佛,0.27868852459016413
渐渐,0.45000000000000007
永远,0.3660714285714285
那时,0.4032472717593826
符合,0.6000000000000002
对方,0.18181818181818177
年轻,0.5652173913043479
竟然,0.5365853658536587
手里,0.5714285714285716
一把,0.8
香港,0.7777777777777779
经历,0.30434782608695654
一眼,0.2777777777777781
找到,0.2876712328767127
担心,0.3333333333333337
感觉,0.5016949152542375
一个,0.29671361502347426
出去,0.4032472717593826
简单,0.3250000000000003
别人,0.2540983606557379
多年,0.4102990033222591
第二,0.34782608695652173
回到,0.3225806451612907
个人,0.4032472717593826
真正,0.4032472717593826
