keyword,arousal_value
首歌,0.3979035639745546
张国荣,0.6602923015652561
何人,0.5
风华绝代,0.5
有着,0.4032472717593826
听歌,0.4570517167358018
荣迷,0.8019866684093584
演唱会,0.4358974358974361
无助,0.33333333333333337
哥哥,0.5714285714285716
离家,0.33333333333333337
跳舞,0.33333333333333337
时候,0.4032472717593826
跟风,0.21649484536082497
时而,0.19999999999999996
离去,0.4285714285714288
遗憾,0.23684210526315785
二用,0.2127659574468087
明星,0.7777777777777779
天籁般,0.4209453433558421
安利,0.4286336272532223
荧幕,0.5
蜡像馆,0.5967527282406182
怨天怨地,0.5
阿飞,0.4814814814814813
从头来,0.5147058823529407
leave,0.33333333333333337
可如君,0.2500000000000001
有块,0.2799999999999998
杜莎,0.4252655538694995
后荣迷,0.7636143885254357
三心,0.5
以心,0.5
mv,0.8571428571428572
solo,0.6666666666666666
Please,0.5
为愿,0.5
message,0.5
live,0.40000000000000013
可似,0.21052631578947367
杏色,0.5
已爱,0.2681302910649379
ktv,0.4285714285714288
梁朝伟,0.9944003991794643
拨错,0.19300860338862658
我留,0.30188679245283045
被峰哥,0.4252655538694995
可及,0.33333333333333337
可念君,0.33033740975394177
Leslie,0.5
唯一,0.3437500000000001
献技,0.5
至今,0.33333333333333337
顺境,0.33333333333333337
曾立,0.5
吹出来,0.4042553191489361
胎记,0.3880907045179165
桀骜,0.8554803014404273
真的,0.32327586206896575
悲喜,0.5
寻人启事,0.10794691602512707
励志,0.6666666666666666
霸王别姬,0.5
多年,0.4102990033222591
飞在,0.4814814814814813
至爱,0.5
落寞,0.40000000000000013
正传,0.5
辞海,0.08902679766740007
妖娆,0.3718384609005727
沉醉在,0.6666666666666666
逆境,0.40000000000000013
歌喉,0.5
年月日,0.5
未归,0.3793103448275861
女皇,0.4660845806604891
纸巾,0.4252655538694995
我们,0.4032472717593826
不羁,0.6666666666666666
陪伴着,0.15000000000000013
心里,0.4032472717593826
音符,0.18750000000000022
分心,0.5
醉人,0.25066444355055306
伟人,0.6666666666666666
忘情,0.6666666666666666
张狂,0.3716868509107467
嚣张,0.5
孤寂,0.2500000000000001
政要,0.5
相差无几,0.5
所有,0.4032472717593826
右腿,0.33333333333333337
眉眼,0.33333333333333337
人世间,0.26898830746439173
谎言,0.44444444444444464
颓然,0.33333333333333337
回味,0.33333333333333337
昏黄,0.2222222222222221
电话号码,0.10093436524144916
无数次,0.2571262740231869
终是,0.34782608695652173
死死地,0.33333333333333337
多情,0.33333333333333337
西装,0.5
留言,0.16666666666666674
有幸,0.7500000000000002
听过,0.45152603231597865
烟尘,0.6666666666666666
风中,0.2104363121121805
眉目,0.03567677667801783
绚丽,0.6666666666666666
无望,0.6000000000000002
自制,0.7500000000000002
流淌,0.125
鸟儿,0.7500000000000002
烟火,0.1428571428571429
宠爱,0.4977355474647013
扬起,0.5
好听,0.3846153846153846
看书,0.268044696010986
优雅,0.40000000000000013
已过,0.5258620689655172
旋律,0.3000000000000004
专心,0.33333333333333337
忧郁,0.16666666666666674
天使,0.3333333333333337
陈列,0.5
一个,0.29671361502347426
身着,0.5
聊天,0.125
灯火,0.19999999999999996
已久,0.31414751463356816
永恒,0.3571428571428572
身高,0.5
膝盖,0.8
说好,0.22824460360301646
不能,0.35728385313857103
青春,0.18309859154929597
心底,0.16666666666666674
其他人,0.332129963898917
体会,0.35294117647058854
面孔,0.40000000000000013
心灵,0.38095238095238115
一首,0.392575928008999
四月,0.19999999999999996
帽子,0.125
美好,0.17333333333333356
赶上,0.33333333333333337
