约定-王菲
word,frequency
首歌,0.2709688330368231
王菲,0.20461603419675092
歌词,0.1649549407433213
前奏,0.13657799849083033
林夕,0.1294740162768953
陈奕迅,0.1294740162768953
什么样,0.12780977052888087
感觉,0.12219808568902527
录音棚,0.09536123084043321
K歌之王,0.08631601085126353
衬托出,0.08374074049819494
喜欢,0.08234784697501805
凝住,0.07990948958772563
用心良苦,0.0777269562166065
知道,0.07173481119133575
眼泪,0.07021404963422383
第一句,0.06704373382765343
离别,0.06585959681487365
吵架,0.062220028326642605
学校,0.061648222746281595
为的是,0.06100822525927799
细看,0.06079450345581228
歌曲,0.06007904567501805
轮廓,0.05723370426072202
好看,0.05484641768628159
约定,0.051792389365487364
经典,0.05098340226534296
翻唱,0.04768061542021661
原唱,0.04768061542021661
拉勾,0.046216842466787006
