等-陈百强
word,frequency
陈百强,0.41065995238969466
张国荣,0.28658893032595417
老歌,0.17707011540458015
首歌,0.12277813536183205
口音,0.09902752928164121
歌曲,0.09527802854187023
sam1,0.09125776719770992
粤语,0.08853505770229007
闭口,0.07776416477328243
张敬轩,0.07401515292045802
喜欢,0.06529681377503817
无奈,0.05410101566763359
一生何求,0.05305602157251909
爸爸,0.05220872736694657
当初,0.051261760583206105
一人,0.04888145365473283
泡面,0.048862844898091604
十四部,0.048862844898091604
心情,0.04846538501236641
谭咏麟,0.04776482172099236
意绪,0.04691312877671756
学友,0.04691312877671756
时间,0.0467122858678626
梅艳芳,0.0462172449721374
三剑客,0.0462172449721374
中属,0.04562888359885496
已全,0.04562888359885496
越久,0.04562888359885496
gip3,0.04562888359885496
新歌,0.04562888359885496
