杨千嬅,0.25709177425591395
明哥,0.25709177425591395
林夕,0.19281883069193545
首歌,0.1729455455096774
黄耀明,0.12854588712795698
那晚,0.10830146511290323
老爷,0.10732757373983871
拨通,0.09942706776150538
诠释,0.0964884297507527
最怕,0.09618118918677418
写给,0.09566377791430107
电话,0.09440593775790324
真的,0.09086681136080646
下去,0.09013778297306452
深夜,0.08540056945107527
假如,0.08136987122408602
循环,0.07187852311096775
心情,0.06826844555505376
写歌,0.06728163059623656
单曲,0.06608193408333334
不怕累,0.06608193408333334
故事,0.06581047918354838
粤语歌,0.06427294356397849
缺根筋,0.06427294356397849
曲和词,0.06427294356397849
歌中,0.06427294356397849
迅来,0.06427294356397849
陈奕,0.06427294356397849
fa,0.06427294356397849
凄美,0.06292179072365592
睡眼惺忪,0.061375112915053764
王菲,0.060944775776881725
晚安,0.06054634581935484
忧郁症,0.06054634581935484
想定,0.06017541640268817
唱出来,0.05982843510591398
根本,0.05946376388064516
爱哭,0.05919519297903226
别闹,0.05787733030107527
无人知晓,0.05644881865752688
歌喉,0.05644881865752688
于是,0.055338891426344086
粗心,0.054639828138172045
可不可以,0.054639828138172045
时差,0.05426889872150537
际遇,0.05349158028704302
嗜睡,0.053389170636666664
泣不成声,0.05181719233833333
贴切,0.05174199748903225
越少,0.051042787122096776
说不下去,0.05097761851709678
哀伤,0.05048289325516129
回味,0.05036601160655914
没有,0.050206831695967735
最后,0.05007006162924731
心不在焉,0.05002988065505376
倾诉,0.0495125256438172
歌词,0.04913174041494624
男生,0.049085984018870966
抑郁,0.04840235404311828
虚构,0.04828331573198925
听懂,0.04765443575032258
伤人,0.046997969638494626
打扰,0.046997969638494626
这首,0.046967159559408604
心慌,0.04693652503731182
不在意,0.04687577474021505
提炼,0.04687577474021505
那头,0.04669753706650538
烦躁,0.045544795822688174
放过,0.04515816903994624
不爱,0.04488020466155914
但愿,0.044498172826827956
人去,0.04436399684844086
不耐烦,0.04301494784080645
舍不得,0.042403024171666664
毛病,0.04202246365
还好,0.04184183039747311
女孩子,0.04164419117182796
一首,0.04162141001870968
耐心,0.041312212639193546
长久,0.04109145195747312
时常,0.04107089229919354
可爱,0.0409591984144086
路边,0.0409591984144086
对话,0.0400889591144086
智慧,0.03974144362903226
打电话,0.0393699800766129
看过,0.039355045777903226
情景,0.03852095504155914
感动,0.03815684082994624
自己,0.03788213799505376
敏感,0.03747410153774194
爱情,0.03682628067155914
评论,0.03643551003639785
可惜,0.03637091561801076
总结,0.03635382070983871
当初,0.03610371309892473
想象,0.03603491438102151
道理,0.03468063485037634
更好,0.03462775745016129
感情,0.03427729519274193
很少,0.033413841885698924
